,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
LAP,55,63,77,55,3,31,18,11,23,26,10,4,5,99,20,89,7,51,,,
LAP,56,63,77,31,11,18,23,55,3,26,10,4,5,99,20,89,7,51,,,
LAP,57,63,77,11,31,18,23,55,3,26,10,4,5,99,20,89,7,51,,,
LAP,58,63,77,11,31,18,23,55,3,26,10,4,5,99,20,89,7,51,,,
LAP,59,63,77,11,31,18,23,55,3,26,10,4,5,99,20,7,89,51,,,
LAP,60,63,77,11,31,18,23,55,3,26,10,4,5,99,20,7,51,89,,,
LAP,61,63,77,11,31,18,23,55,3,26,10,4,5,99,20,7,51,89,,,
LAP,62,63,77,11,31,18,23,55,3,26,10,4,5,99,20,7,51,89,,,
LAP,63,63,11,31,18,77,55,3,26,10,23,4,5,99,20,7,51,89,,,
LAP,64,11,31,18,77,63,55,3,26,10,23,4,5,99,20,7,51,89,,,
LAP,65,11,31,18,77,63,55,3,26,10,23,4,5,99,20,7,51,89,,,
LAP,66,11,31,18,77,63,55,3,26,10,23,4,5,99,20,7,51,89,,,
LAP,67,11,31,18,77,63,55,3,26,10,23,4,5,99,20,7,51,89,,,
LAP,68,11,31,18,77,63,55,3,26,10,23,4,5,99,20,7,51,89,,,
LAP,69,11,31,18,77,63,55,3,26,23,10,4,5,99,20,7,51,89,,,
LAP,70,11,31,18,63,77,55,3,26,23,10,4,5,99,7,20,51,89,,,
LAP,71,11,31,18,63,77,55,3,26,23,10,4,5,99,7,20,51,89,,,
LAP,72,11,31,63,18,77,55,3,23,26,10,4,5,99,7,20,51,89,,,
LAP,73,11,63,31,18,77,55,3,23,26,10,4,5,99,7,20,51,89,,,
LAP,74,11,63,31,18,77,55,3,23,26,10,4,5,99,7,20,51,89,,,
LAP,75,11,63,31,18,77,55,3,23,26,10,4,5,99,7,20,51,89,,,
LAP,76,11,63,31,18,77,55,3,23,26,10,4,5,99,7,20,51,89,,,
LAP,77,11,63,31,18,55,3,77,23,26,10,4,5,99,7,20,51,89,,,
LAP,78,11,63,31,18,55,3,23,26,77,10,4,5,99,7,20,51,89,,,
LAP,79,11,31,18,55,3,23,26,77,10,4,5,99,7,63,20,51,89,,,
LAP,80,11,31,18,55,3,23,26,77,10,4,5,99,7,63,20,51,89,,,
LAP,81,11,31,18,55,3,23,26,77,10,4,5,99,63,7,20,51,89,,,
LAP,82,11,31,18,55,3,23,26,77,10,4,5,99,63,7,20,89,51,,,
LAP,83,11,31,18,55,3,23,26,77,10,4,5,63,99,7,20,89,51,,,
LAP,84,11,31,18,55,3,23,26,77,10,4,63,5,99,7,20,89,51,,,
LAP,85,11,31,18,55,3,23,26,77,4,10,63,5,99,7,20,89,51,,,
LAP,86,11,31,18,55,3,23,26,77,4,63,10,5,99,7,20,89,51,,,
LAP,87,11,31,18,55,3,23,26,77,63,4,10,5,99,7,20,89,51,,,
