1 Max VERSTAPPEN,,MV_Laptime_s,MV_Cumulative,,11 Sergio PEREZ,,SP_Laptime_s,SP_Cumulative,,2 Logan SARGEANT,,LS_Laptime_s,LS_Cumulative,,23 Alex ALBON,,AA_Laptime_s,AA_Cumulative,,4 Lando NORRIS,,LN_Laptime_s,LN_Cumulative,,81 Oscar PIASTRI,,OP_Laptime_s,OP_Cumulative,,10 Pierre GASLY,,PG_Laptime_s,PG_Cumulative,,31 Esteban OCON,,EO_Laptime_s,EO_Cumulative,,13 Fernando ALONSO,,FA_Laptime_s,FA_Cumulative,,18 Lance STROLL,,LS_Laptime_s,LS_Cumulative,,16 Charles LECLERC,,CL_Laptime_s,CL_Cumulative,,55 Carlos SAINZ,,CS_Laptime_s,CL_Cumulative,,20 Kevin MAGNUSSEN,,KM_Laptime_s,KM_Cumulative,,27 Nico HULKENBERG,,NH_Laptime_s,NH_Cumulative,,21 Nyck DE VRIES,,NDV_Laptime_s,NDV_Cumulative,,22 Yuki TSUNODA,,YT_Laptime_s,YT_Cumulative,,24 Guanyu ZHOU,,GZ_Laptime_s,GZ_Cumulative,,77 Valterri BOTTAS,,VB_Laptime_s,VB_Cumulative,,44 Lewis HAMILTON,,LH_Laptime_s,LH_Cumulative,,63 George RUSSELL,,GR_Laptime_s,GR_Cumulative,,,,RBR1,RBR2,SF1,SF2,M-AMG1,M_AMG2,AMR1,AMR2,MCL1,MCL2,ALP1,ALP2,ATO1,ATO2,WIL1,WIL2,HAS1,HAS2,SAUB1,SAUB2
11 1:38.483,1:38.483,98.483,1080.301,,11 1:39.249,1:39.249,99.249,1089.859,,11 1:41.532,1:41.532,101.532,1115.341,,11 P 1:43.948,1:43.948,103.948,1115.737,,11 2:09.886,2:09.886,129.886,1145.092,,11 1:41.352,1:41.352,101.352,1119.358,,11 1:38.762,1:38.762,98.762,1140.084,,11 1:41.035,1:41.035,101.035,1110.287,,11 1:41.147,1:41.147,101.147,1102.697,,11 1:40.923,1:40.923,100.923,1103.757,,11 1:39.212,1:39.212,99.212,1088.117,,11 1:40.507,1:40.507,100.507,1096.855,,11 1:42.049,1:42.049,102.049,1123.922,,11 P 1:46.790,1:46.790,106.79,1124.605,,11 P 1:45.460,1:45.460,105.46,1125.385,,11 1:59.843,1:59.843,119.843,1137.238,,11 1:42.108,1:42.108,102.108,1120.735,,11 P 1:43.269,1:43.269,103.269,1109.799,,11 1:40.752,1:40.752,100.752,1100.351,,11 1:41.085,1:41.085,101.085,1102.051,,10,981.818,0.000,8.792,7.087,14.530,17.781,19.148,19.732,21.016,33.388,36.188,27.434,59.504,35.577,38.107,29.971,31.991,40.055,35.997,24.712,36.809
12 1:38.591,1:38.591,98.591,1178.892,,12 1:39.197,1:39.197,99.197,1189.056,,12 P 1:43.880,1:43.880,103.880,1219.221,,12 1:59.445,1:59.445,119.445,1235.182,,12 1:39.314,1:39.314,99.314,1244.406,,12 1:41.156,1:41.156,101.156,1220.514,,12 1:38.928,1:38.928,98.928,1239.012,,12 P 1:43.787,1:43.787,103.787,1214.074,,12 1:40.934,1:40.934,100.934,1203.631,,12 1:41.039,1:41.039,101.039,1204.796,,12 1:39.489,1:39.489,99.489,1187.606,,12 1:40.520,1:40.520,100.52,1197.375,,12 1:41.345,1:41.345,101.345,1225.267,,12 2:02.579,2:02.579,122.579,1247.184,,12 2:01.184,2:01.184,121.184,1246.569,,12 1:39.143,1:39.143,99.143,1236.381,,12 P 1:43.870,1:43.870,103.87,1224.605,,12 1:59.450,1:59.450,119.45,1229.249,,12 P 1:43.336,1:43.336,103.336,1203.687,,12 1:41.112,1:41.112,101.112,1203.163,,11,1080.301,0.000,9.558,7.816,16.554,20.050,21.750,22.396,23.456,64.791,39.057,29.986,59.783,56.937,45.084,35.436,35.040,43.621,44.304,29.498,40.434
13 1:38.482,1:38.482,98.482,1277.374,,13 1:39.336,1:39.336,99.336,1288.392,,13 2:00.255,2:00.255,120.255,1339.476,,13 1:38.649,1:38.649,98.649,1333.831,,13 1:39.510,1:39.510,99.510,1343.916,,13 P 2:02.071,2:02.071,122.071,1342.585,,13 1:39.349,1:39.349,99.349,1338.361,,13 2:00.381,2:00.381,120.381,1334.455,,13 1:40.341,1:40.341,100.341,1303.972,,13 1:41.120,1:41.120,101.120,1305.916,,13 P 1:42.068,1:42.068,102.068,1289.674,,13 P 1:43.310,1:43.310,103.31,1300.685,,13 1:41.654,1:41.654,101.654,1326.921,,13 1:39.406,1:39.406,99.406,1346.59,,13 1:38.924,1:38.924,98.924,1345.493,,13 1:39.471,1:39.471,99.471,1335.852,,13 2:02.101,2:02.101,122.101,1346.706,,13 1:38.030,1:38.030,98.03,1327.279,,13 1:59.179,1:59.179,119.179,1322.866,,13 P 1:44.691,1:44.691,104.691,1307.854,,12,1178.892,0.000,10.164,8.714,18.483,24.795,24.271,24.739,25.904,65.514,41.622,35.182,60.120,57.489,67.677,56.290,40.329,46.375,68.292,50.357,45.713
14 P 1:41.295,1:41.295,101.295,1378.669,,14 1:38.739,1:38.739,98.739,1387.131,,14 1:38.413,1:38.413,98.413,1437.889,,14 1:38.472,1:38.472,98.472,1432.303,,14 1:39.243,1:39.243,99.243,1443.159,,,,,,,14 1:38.859,1:38.859,98.859,1437.220,,14 1:38.649,1:38.649,98.649,1433.104,,14 P 1:42.212,1:42.212,102.212,1406.184,,14 1:40.002,1:40.002,100.002,1405.918,,14 1:58.770,1:58.770,118.77,1408.444,,14 1:59.006,1:59.006,119.006,1419.691,,14 1:41.739,1:41.739,101.739,1428.66,,14 1:38.847,1:38.847,98.847,1445.437,,14 1:38.829,1:38.829,98.829,1444.322,,14 1:38.742,1:38.742,98.742,1434.594,,14 1:39.330,1:39.330,99.33,1446.036,,14 1:38.098,1:38.098,98.098,1425.377,,14 1:38.308,1:38.308,98.308,1421.174,,14 2:01.269,2:01.269,121.269,1429.123,,13,1277.374,0.000,11.018,12.300,23.311,45.492,30.480,26.598,28.542,66.542,65.211,57.081,60.987,58.478,68.119,56.457,62.102,49.547,69.216,49.905,69.332
15 1:58.378,1:58.378,118.378,1497.047,,15 1:38.608,1:38.608,98.608,1485.739,,15 1:39.033,1:39.033,99.033,1536.922,,15 1:39.158,1:39.158,99.158,1531.461,,15 1:38.870,1:38.870,98.870,1542.029,,,,,,,15 1:38.985,1:38.985,98.985,1536.205,,15 P 1:41.863,1:41.863,101.863,1534.967,,15 1:59.692,1:59.692,119.692,1525.876,,15 P 1:42.841,1:42.841,102.841,1508.759,,15 1:38.477,1:38.477,98.477,1506.921,,15 1:37.985,1:37.985,97.985,1517.676,,15 P 1:44.899,1:44.899,104.899,1533.559,,15 1:38.972,1:38.972,98.972,1544.409,,15 1:38.868,1:38.868,98.868,1543.19,,15 1:38.975,1:38.975,98.975,1533.569,,15 1:39.229,1:39.229,99.229,1545.265,,15 1:38.851,1:38.851,98.851,1524.228,,15 1:38.527,1:38.527,98.527,1519.701,,15 1:37.460,1:37.460,97.46,1526.583,,14,1378.669,0.000,8.462,29.775,41.022,42.505,50.454,27.515,27.249,64.490,,54.435,58.551,55.925,65.653,53.634,59.220,49.991,66.768,46.708,67.367
16 1:37.801,1:37.801,97.801,1594.848,,16 1:38.770,1:38.770,98.770,1584.509,,16 1:38.988,1:38.988,98.988,1635.910,,16 1:39.253,1:39.253,99.253,1630.714,,16 1:38.860,1:38.860,98.860,1640.889,,,,,,,16 1:38.945,1:38.945,98.945,1635.150,,16 2:15.708,2:15.708,135.708,1670.675,,16 1:37.542,1:37.542,97.542,1623.418,,16 1:59.876,1:59.876,119.876,1628.635,,16 1:37.953,1:37.953,97.953,1604.874,,16 1:38.433,1:38.433,98.433,1616.109,,16 2:00.587,2:00.587,120.587,1654.146,,16 1:39.136,1:39.136,99.136,1643.545,,16 1:39.127,1:39.127,99.127,1642.317,,16 1:39.061,1:39.061,99.061,1632.63,,16 1:38.998,1:38.998,98.998,1644.263,,16 1:38.494,1:38.494,98.494,1622.722,,16 1:38.617,1:38.617,98.617,1618.318,,16 1:37.833,1:37.833,97.833,1624.416,,15,1497.047,0.000,-11.308,9.874,20.629,22.654,29.536,28.829,11.712,44.982,,37.920,39.158,36.522,46.143,34.414,39.875,36.512,47.362,27.181,48.218
17 1:37.648,1:37.648,97.648,1692.496,,17 P 1:41.360,1:41.360,101.360,1685.869,,17 1:39.439,1:39.439,99.439,1735.349,,17 1:39.094,1:39.094,99.094,1729.808,,17 P 1:41.501,1:41.501,101.501,1742.390,,,,,,,17 1:39.011,1:39.011,99.011,1734.161,,17 1:38.780,1:38.780,98.780,1769.455,,17 1:38.139,1:38.139,98.139,1721.557,,17 1:37.507,1:37.507,97.507,1726.142,,17 1:38.031,1:38.031,98.031,1702.905,,17 1:38.161,1:38.161,98.161,1714.27,,17 1:38.319,1:38.319,98.319,1752.465,,17 1:39.396,1:39.396,99.396,1742.941,,17 1:38.996,1:38.996,98.996,1741.313,,17 1:39.021,1:39.021,99.021,1731.651,,17 1:39.143,1:39.143,99.143,1743.406,,17 1:39.973,1:39.973,99.973,1722.695,,17 1:38.704,1:38.704,98.704,1717.022,,17 1:38.604,1:38.604,98.604,1723.02,,16,1594.848,0.000,-10.339,10.026,21.261,23.470,29.568,28.570,33.787,46.041,,75.827,40.302,37.782,47.469,35.866,41.062,59.298,48.697,27.874,49.415
18 1:37.614,1:37.614,97.614,1790.110,,18 1:58.797,1:58.797,118.797,1804.666,,18 1:39.399,1:39.399,99.399,1834.748,,18 1:39.049,1:39.049,99.049,1828.857,,18 2:08.607,2:08.607,128.607,1870.997,,,,,,,18 1:39.029,1:39.029,99.029,1833.190,,18 1:38.886,1:38.886,98.886,1868.341,,18 1:38.124,1:38.124,98.124,1819.681,,18 1:38.127,1:38.127,98.127,1824.269,,18 1:37.798,1:37.798,97.798,1800.703,,18 1:38.287,1:38.287,98.287,1812.557,,18 1:38.274,1:38.274,98.274,1850.739,,18 1:40.323,1:40.323,100.323,1843.264,,18 1:39.054,1:39.054,99.054,1840.367,,18 1:39.302,1:39.302,99.302,1830.953,,18 1:38.873,1:38.873,98.873,1842.279,,18 1:40.240,1:40.240,100.24,1822.935,,18 1:38.690,1:38.690,98.69,1815.712,,18 1:38.427,1:38.427,98.427,1821.447,,17,1692.496,0.000,-6.627,10.409,21.774,24.526,30.524,29.061,33.646,49.894,,76.959,41.665,39.155,48.817,37.312,42.853,59.969,50.445,30.199,50.910
19 1:37.712,1:37.712,97.712,1887.822,,19 1:37.659,1:37.659,97.659,1902.325,,19 1:39.220,1:39.220,99.220,1933.968,,19 1:39.272,1:39.272,99.272,1928.129,,19 1:37.966,1:37.966,97.966,1968.963,,,,,,,19 1:39.066,1:39.066,99.066,1932.256,,19 1:38.817,1:38.817,98.817,1967.158,,19 1:38.361,1:38.361,98.361,1918.042,,19 1:38.587,1:38.587,98.587,1922.856,,19 1:37.858,1:37.858,97.858,1898.561,,19 1:38.210,1:38.210,98.21,1910.767,,19 1:38.803,1:38.803,98.803,1949.542,,19 1:39.633,1:39.633,99.633,1942.897,,19 1:39.078,1:39.078,99.078,1939.445,,19 1:39.170,1:39.170,99.17,1930.123,,19 1:38.794,1:38.794,98.794,1941.073,,19 1:39.497,1:39.497,99.497,1922.432,,19 1:38.684,1:38.684,98.684,1914.396,,19 1:38.512,1:38.512,98.512,1919.959,,18,1790.110,0.000,14.556,10.593,22.447,25.602,31.337,29.571,34.159,80.887,,78.231,43.080,40.843,50.257,38.747,44.638,60.629,53.154,32.825,52.169
20 1:37.788,1:37.788,97.788,1985.610,,20 1:37.448,1:37.448,97.448,1999.773,,20 1:39.186,1:39.186,99.186,2033.154,,20 1:39.299,1:39.299,99.299,2027.428,,20 1:38.345,1:38.345,98.345,2067.308,,,,,,,20 1:39.017,1:39.017,99.017,2031.273,,20 1:38.809,1:38.809,98.809,2065.967,,20 1:38.318,1:38.318,98.318,2016.360,,20 1:38.038,1:38.038,98.038,2020.894,,20 1:37.631,1:37.631,97.631,1996.192,,20 1:38.096,1:38.096,98.096,2008.863,,20 1:39.083,1:39.083,99.083,2048.625,,20 1:39.495,1:39.495,99.495,2042.392,,20 1:39.182,1:39.182,99.182,2038.627,,20 1:39.282,1:39.282,99.282,2029.405,,20 1:38.896,1:38.896,98.896,2039.969,,20 1:40.442,1:40.442,100.442,2022.874,,20 1:38.478,1:38.478,98.478,2012.874,,20 1:38.578,1:38.578,98.578,2018.537,,19,1887.822,0.000,14.503,10.739,22.945,26.574,32.137,30.220,35.034,81.141,,79.336,44.434,42.301,51.623,40.307,46.146,61.720,55.075,34.610,53.251
