1 Max VERSTAPPEN,,MV_Laptime_s,MV_Cumulative,,11 Sergio PEREZ,,SP_Laptime_s,SP_Cumulative,,2 Logan SARGEANT,,LS_Laptime_s,LS_Cumulative,,23 Alex ALBON,,AA_Laptime_s,AA_Cumulative,,4 Lando NORRIS,,LN_Laptime_s,LN_Cumulative,,81 Oscar PIASTRI,,OP_Laptime_s,OP_Cumulative,,10 Pierre GASLY,,PG_Laptime_s,PG_Cumulative,,31 Esteban OCON,,EO_Laptime_s,EO_Cumulative,,13 Fernando ALONSO,,FA_Laptime_s,FA_Cumulative,,18 Lance STROLL,,LS_Laptime_s,LS_Cumulative,,16 Charles LECLERC,,CL_Laptime_s,CL_Cumulative,,55 Carlos SAINZ,,CS_Laptime_s,CL_Cumulative,,20 Kevin MAGNUSSEN,,KM_Laptime_s,KM_Cumulative,,27 Nico HULKENBERG,,NH_Laptime_s,NH_Cumulative,,21 Nyck DE VRIES,,NDV_Laptime_s,NDV_Cumulative,,22 Yuki TSUNODA,,YT_Laptime_s,YT_Cumulative,,24 Guanyu ZHOU,,GZ_Laptime_s,GZ_Cumulative,,77 Valterri BOTTAS,,VB_Laptime_s,VB_Cumulative,,44 Lewis HAMILTON,,LH_Laptime_s,LH_Cumulative,,63 George RUSSELL,,GR_Laptime_s,GR_Cumulative,,,,RBR1,RBR2,SF1,SF2,M-AMG1,M_AMG2,AMR1,AMR2,MCL1,MCL2,ALP1,ALP2,ATO1,ATO2,WIL1,WIL2,HAS1,HAS2,SAUB1,SAUB2
21 1:37.582,1:37.582,97.582,2083.192,,21 1:37.240,1:37.240,97.240,2097.013,,21 1:39.612,1:39.612,99.612,2132.766,,21 1:39.591,1:39.591,99.591,2127.019,,21 1:38.297,1:38.297,98.297,2165.605,,,,,,,21 1:39.327,1:39.327,99.327,2130.600,,21 1:38.976,1:38.976,98.976,2164.943,,21 1:38.407,1:38.407,98.407,2114.767,,21 1:38.273,1:38.273,98.273,2119.167,,21 1:37.753,1:37.753,97.753,2093.945,,21 1:38.240,1:38.240,98.24,2107.103,,21 1:39.086,1:39.086,99.086,2147.711,,21 1:39.703,1:39.703,99.703,2142.095,,21 1:39.182,1:39.182,99.182,2137.809,,21 1:39.325,1:39.325,99.325,2128.73,,21 1:38.888,1:38.888,98.888,2138.857,,21 1:39.355,1:39.355,99.355,2122.229,,21 1:38.581,1:38.581,98.581,2111.455,,21 1:38.555,1:38.555,98.555,2117.092,,20,1985.610,0.000,14.163,10.582,23.253,27.264,32.927,30.750,35.284,81.698,,80.357,45.663,43.795,53.017,41.818,47.544,63.015,56.782,37.264,54.359
22 1:37.651,1:37.651,97.651,2180.843,,22 1:37.169,1:37.169,97.169,2194.182,,22 1:39.362,1:39.362,99.362,2232.128,,22 1:39.588,1:39.588,99.588,2226.607,,22 1:38.908,1:38.908,98.908,2264.513,,,,,,,22 1:39.485,1:39.485,99.485,2230.085,,22 1:39.028,1:39.028,99.028,2263.971,,22 1:38.200,1:38.200,98.200,2212.967,,22 1:38.730,1:38.730,98.730,2217.897,,22 1:38.162,1:38.162,98.162,2192.107,,22 1:38.453,1:38.453,98.453,2205.556,,22 1:38.913,1:38.913,98.913,2246.624,,22 1:39.934,1:39.934,99.934,2242.029,,22 1:39.296,1:39.296,99.296,2237.105,,22 1:39.439,1:39.439,99.439,2228.169,,22 1:39.115,1:39.115,99.115,2237.972,,22 1:39.356,1:39.356,99.356,2221.585,,22 1:38.460,1:38.460,98.46,2209.915,,22 1:38.438,1:38.438,98.438,2215.53,,21,2083.192,0.000,13.821,10.753,23.911,28.263,33.900,31.575,35.975,82.413,,81.751,47.408,45.538,54.617,43.827,49.574,64.519,58.903,39.037,55.665
23 1:37.552,1:37.552,97.552,2278.395,,23 1:37.304,1:37.304,97.304,2291.486,,23 1:39.692,1:39.692,99.692,2331.820,,23 1:39.802,1:39.802,99.802,2326.409,,23 1:38.291,1:38.291,98.291,2362.804,,,,,,,23 1:39.263,1:39.263,99.263,2329.348,,23 1:40.052,1:40.052,100.052,2364.023,,23 1:37.853,1:37.853,97.853,2310.820,,23 1:38.295,1:38.295,98.295,2316.192,,23 1:38.054,1:38.054,98.054,2290.161,,23 1:38.597,1:38.597,98.597,2304.153,,23 1:39.027,1:39.027,99.027,2345.651,,23 1:39.866,1:39.866,99.866,2341.895,,23 1:39.542,1:39.542,99.542,2336.647,,23 1:39.632,1:39.632,99.632,2327.801,,23 1:39.462,1:39.462,99.462,2337.434,,23 1:39.311,1:39.311,99.311,2320.896,,23 1:38.384,1:38.384,98.384,2308.299,,23 1:38.773,1:38.773,98.773,2314.303,,22,2180.843,0.000,13.339,11.264,24.713,29.072,34.687,32.124,37.054,83.670,,83.128,49.242,47.326,56.262,45.764,51.285,65.781,61.186,40.742,57.129
24 1:37.387,1:37.387,97.387,2375.782,,24 1:37.352,1:37.352,97.352,2388.838,,24 1:39.872,1:39.872,99.872,2431.692,,24 1:39.890,1:39.890,99.890,2426.299,,24 1:38.696,1:38.696,98.696,2461.500,,,,,,,24 1:39.761,1:39.761,99.761,2429.109,,24 1:39.382,1:39.382,99.382,2463.405,,24 1:37.878,1:37.878,97.878,2408.698,,24 1:38.478,1:38.478,98.478,2414.670,,24 1:37.972,1:37.972,97.972,2388.133,,24 1:38.314,1:38.314,98.314,2402.467,,24 1:38.947,1:38.947,98.947,2444.598,,24 1:39.855,1:39.855,99.855,2441.75,,24 1:39.807,1:39.807,99.807,2436.454,,24 1:40.109,1:40.109,100.109,2427.91,,24 1:39.503,1:39.503,99.503,2436.937,,24 1:39.427,1:39.427,99.427,2420.323,,24 1:38.367,1:38.367,98.367,2406.666,,24 1:38.643,1:38.643,98.643,2412.946,,23,2278.395,0.000,13.091,11.766,25.758,29.904,35.908,32.425,37.797,84.409,,85.628,50.953,49.406,58.252,48.014,53.425,67.256,63.500,42.501,59.039
25 1:37.372,1:37.372,97.372,2473.154,,25 1:38.418,1:38.418,98.418,2487.256,,25 1:39.834,1:39.834,99.834,2531.526,,25 1:39.832,1:39.832,99.832,2526.131,,25 1:38.447,1:38.447,98.447,2559.947,,,,,,,25 P 1:42.288,1:42.288,102.288,2531.397,,25 1:39.435,1:39.435,99.435,2562.840,,25 1:38.139,1:38.139,98.139,2506.837,,25 1:38.250,1:38.250,98.250,2512.920,,25 1:38.541,1:38.541,98.541,2486.674,,25 1:38.571,1:38.571,98.571,2501.038,,25 1:39.476,1:39.476,99.476,2544.074,,25 1:40.295,1:40.295,100.295,2542.045,,25 1:40.960,1:40.960,100.96,2537.414,,25 1:39.746,1:39.746,99.746,2527.656,,25 1:39.066,1:39.066,99.066,2536.003,,25 1:39.490,1:39.490,99.49,2519.813,,25 1:38.290,1:38.290,98.29,2504.956,,25 1:38.487,1:38.487,98.487,2511.433,,24,2375.782,0.000,13.056,12.351,26.685,30.884,37.164,32.916,38.888,85.718,,87.623,53.327,52.128,60.672,50.517,55.910,68.816,65.968,44.541,61.155
26 1:37.682,1:37.682,97.682,2570.836,,26 1:37.454,1:37.454,97.454,2584.710,,26 1:40.006,1:40.006,100.006,2631.532,,26 P 1:42.610,1:42.610,102.610,2628.741,,26 1:38.440,1:38.440,98.440,2658.387,,,,,,,26 1:59.404,1:59.404,119.404,2650.801,,26 1:39.521,1:39.521,99.521,2662.361,,26 1:38.127,1:38.127,98.127,2604.964,,26 1:38.482,1:38.482,98.482,2611.402,,26 1:39.668,1:39.668,99.668,2586.342,,26 1:38.331,1:38.331,98.331,2599.369,,26 1:39.601,1:39.601,99.601,2643.675,,26 P 1:42.931,1:42.931,102.931,2644.976,,26 1:39.970,1:39.970,99.97,2637.384,,26 P 1:42.227,1:42.227,102.227,2629.883,,26 1:39.427,1:39.427,99.427,2635.43,,26 1:39.500,1:39.500,99.5,2619.313,,26 1:38.339,1:38.339,98.339,2603.295,,26 1:38.462,1:38.462,98.462,2609.895,,25,2473.154,0.000,14.102,13.520,27.884,31.802,38.279,33.683,39.766,86.793,,89.686,58.243,54.502,64.260,52.977,58.372,70.920,68.891,46.659,62.849
27 1:37.379,1:37.379,97.379,2668.215,,27 1:37.387,1:37.387,97.387,2682.097,,27 1:39.602,1:39.602,99.602,2731.134,,27 1:59.870,1:59.870,119.870,2748.611,,27 P 1:40.973,1:40.973,100.973,2759.360,,,,,,,27 1:38.729,1:38.729,98.729,2749.530,,27 1:39.594,1:39.594,99.594,2761.955,,27 1:38.612,1:38.612,98.612,2703.576,,27 1:39.021,1:39.021,99.021,2710.423,,27 1:38.814,1:38.814,98.814,2685.156,,27 1:38.423,1:38.423,98.423,2697.792,,27 1:39.298,1:39.298,99.298,2742.973,,27 2:12.037,2:12.037,132.037,2777.013,,27 P 1:42.309,1:42.309,102.309,2739.693,,27 2:00.300,2:00.300,120.3,2750.183,,27 1:39.235,1:39.235,99.235,2734.665,,27 1:39.287,1:39.287,99.287,2718.6,,27 1:38.369,1:38.369,98.369,2701.664,,27 1:38.625,1:38.625,98.625,2708.52,,26,2570.836,0.000,13.874,15.506,28.533,32.459,39.059,34.128,40.566,87.551,,91.525,79.965,59.047,66.548,57.905,60.696,72.839,74.140,48.477,64.594
28 1:37.651,1:37.651,97.651,2765.866,,28 1:37.211,1:37.211,97.211,2779.308,,28 1:39.620,1:39.620,99.620,2830.754,,28 1:37.503,1:37.503,97.503,2846.114,,28 2:07.663,2:07.663,127.663,2887.023,,,,,,,28 1:37.761,1:37.761,97.761,2847.291,,28 1:40.026,1:40.026,100.026,2861.981,,28 1:38.199,1:38.199,98.199,2801.775,,28 1:38.723,1:38.723,98.723,2809.146,,28 1:38.618,1:38.618,98.618,2783.774,,28 1:38.474,1:38.474,98.474,2796.266,,28 1:39.316,1:39.316,99.316,2842.289,,28 1:36.981,1:36.981,96.981,2873.994,,28 2:00.083,2:00.083,120.083,2859.776,,28 1:37.824,1:37.824,97.824,2848.007,,28 1:39.412,1:39.412,99.412,2834.077,,28 1:39.016,1:39.016,99.016,2817.616,,28 1:38.265,1:38.265,98.265,2799.929,,28 1:38.448,1:38.448,98.448,2806.968,,27,2668.215,0.000,13.882,16.941,29.577,33.449,40.305,35.361,42.208,91.145,,93.740,81.315,81.968,71.478,80.396,62.919,74.758,108.798,50.385,66.450
29 1:37.571,1:37.571,97.571,2863.437,,29 1:37.733,1:37.733,97.733,2877.041,,29 1:39.673,1:39.673,99.673,2930.427,,29 1:38.127,1:38.127,98.127,2944.241,,29 1:37.260,1:37.260,97.260,2984.283,,,,,,,29 1:38.012,1:38.012,98.012,2945.303,,29 1:41.181,1:41.181,101.181,2963.162,,29 1:38.585,1:38.585,98.585,2900.360,,29 1:38.710,1:38.710,98.710,2907.856,,29 1:38.447,1:38.447,98.447,2882.221,,29 1:38.550,1:38.550,98.55,2894.816,,29 P 1:41.979,1:41.979,101.979,2944.268,,29 1:37.398,1:37.398,97.398,2971.392,,29 1:38.121,1:38.121,98.121,2957.897,,29 1:37.779,1:37.779,97.779,2945.786,,29 1:39.361,1:39.361,99.361,2933.438,,29 P 1:42.220,1:42.220,102.22,2919.836,,29 1:38.380,1:38.380,98.38,2898.309,,29 1:38.792,1:38.792,98.792,2905.76,,28,2765.866,0.000,13.442,17.908,30.400,34.063,41.102,35.909,43.280,121.157,,96.115,81.425,82.141,93.910,80.248,64.888,76.423,108.128,51.750,68.211
30 1:37.549,1:37.549,97.549,2960.986,,30 1:37.400,1:37.400,97.400,2974.441,,30 P 1:42.409,1:42.409,102.409,3032.836,,30 1:37.931,1:37.931,97.931,3042.172,,30 1:37.605,1:37.605,97.605,3081.888,,,,,,,30 1:37.760,1:37.760,97.760,3043.063,,30 1:39.757,1:39.757,99.757,3062.919,,30 1:38.282,1:38.282,98.282,2998.642,,30 P 1:41.467,1:41.467,101.467,3009.323,,30 1:38.390,1:38.390,98.39,2980.611,,30 1:38.601,1:38.601,98.601,2993.417,,30 2:00.933,2:00.933,120.933,3065.201,,30 1:37.617,1:37.617,97.617,3069.009,,30 1:37.709,1:37.709,97.709,3055.606,,30 1:38.147,1:38.147,98.147,3043.933,,30 1:39.382,1:39.382,99.382,3032.82,,30 1:58.886,1:58.886,118.886,3038.722,,30 P 1:41.175,1:41.175,101.175,2999.484,,30 1:38.541,1:38.541,98.541,3004.301,,29,2863.437,0.000,13.604,18.784,31.379,34.872,42.323,36.923,44.419,120.846,,99.725,81.866,82.349,94.460,80.804,66.990,80.831,107.955,56.399,70.001
31 1:37.431,1:37.431,97.431,3058.417,,31 1:37.919,1:37.919,97.919,3072.360,,31 1:59.303,1:59.303,119.303,3152.139,,31 1:38.104,1:38.104,98.104,3140.276,,31 1:37.768,1:37.768,97.768,3179.656,,,,,,,31 1:37.968,1:37.968,97.968,3141.031,,31 1:39.748,1:39.748,99.748,3162.667,,31 1:38.009,1:38.009,98.009,3096.651,,31 1:57.063,1:57.063,117.063,3126.386,,31 1:38.746,1:38.746,98.746,3079.357,,31 P 1:41.274,1:41.274,101.274,3094.691,,31 1:38.593,1:38.593,98.593,3163.794,,31 1:37.891,1:37.891,97.891,3166.9,,31 1:37.909,1:37.909,97.909,3153.515,,31 1:37.813,1:37.813,97.813,3141.746,,31 1:39.670,1:39.670,99.67,3132.49,,31 1:37.379,1:37.379,97.379,3136.101,,31 1:59.503,1:59.503,119.503,3118.987,,31 P 1:41.035,1:41.035,101.035,3105.336,,30,2960.986,0.000,13.455,19.625,32.431,38.498,43.315,37.656,48.337,120.902,,101.933,82.077,82.947,94.620,81.186,71.850,104.215,108.023,77.736,71.834
32 1:37.691,1:37.691,97.691,3156.108,,32 1:37.722,1:37.722,97.722,3170.082,,32 1:37.613,1:37.613,97.613,3249.752,,32 1:37.919,1:37.919,97.919,3238.195,,32 1:38.111,1:38.111,98.111,3277.767,,,,,,,32 1:38.012,1:38.012,98.012,3239.043,,32 P 1:44.296,1:44.296,104.296,3266.963,,32 1:37.871,1:37.871,97.871,3194.522,,32 1:36.546,1:36.546,96.546,3222.932,,32 1:38.948,1:38.948,98.948,3178.305,,32 1:58.492,1:58.492,118.492,3213.183,,32 1:37.644,1:37.644,97.644,3261.438,,32 1:37.806,1:37.806,97.806,3264.706,,32 1:37.902,1:37.902,97.902,3251.417,,32 1:38.017,1:38.017,98.017,3239.763,,32 P 1:42.096,1:42.096,102.096,3234.586,,32 1:37.675,1:37.675,97.675,3233.776,,32 1:37.563,1:37.563,97.563,3216.55,,32 1:58.694,1:58.694,118.694,3224.03,,31,3058.417,0.000,13.943,20.940,36.274,60.570,46.919,38.234,67.969,121.239,,104.250,82.614,83.329,95.098,81.859,93.722,105.377,108.483,77.684,74.073
33 1:37.686,1:37.686,97.686,3253.794,,33 1:37.869,1:37.869,97.869,3267.951,,33 1:37.862,1:37.862,97.862,3347.614,,33 1:38.104,1:38.104,98.104,3336.299,,33 1:37.520,1:37.520,97.520,3375.287,,,,,,,33 1:37.974,1:37.974,97.974,3337.017,,33 2:18.694,2:18.694,138.694,3405.657,,33 1:37.769,1:37.769,97.769,3292.291,,33 1:37.210,1:37.210,97.210,3320.142,,33 P 1:41.323,1:41.323,101.323,3279.628,,33 1:37.548,1:37.548,97.548,3310.731,,33 1:37.097,1:37.097,97.097,3358.535,,33 1:37.761,1:37.761,97.761,3362.467,,33 1:37.933,1:37.933,97.933,3349.35,,33 1:38.094,1:38.094,98.094,3337.857,,33 1:59.659,1:59.659,119.659,3354.245,,33 1:37.775,1:37.775,97.775,3331.551,,33 1:37.549,1:37.549,97.549,3314.099,,33 1:37.221,1:37.221,97.221,3321.251,,32,3156.108,0.000,13.974,22.197,57.075,60.442,67.922,38.414,66.824,121.659,,110.855,82.935,83.655,95.309,82.087,93.644,105.330,108.598,77.668,78.478
34 1:37.839,1:37.839,97.839,3351.633,,34 P 1:40.686,1:40.686,100.686,3368.637,,34 1:37.902,1:37.902,97.902,3445.516,,34 1:37.961,1:37.961,97.961,3434.260,,34 1:37.987,1:37.987,97.987,3473.274,,,,,,,34 1:38.022,1:38.022,98.022,3435.039,,34 1:36.797,1:36.797,96.797,3502.454,,34 P 1:40.353,1:40.353,100.353,3392.644,,34 1:37.168,1:37.168,97.168,3417.310,,34 1:59.477,1:59.477,119.477,3399.105,,34 1:37.475,1:37.475,97.475,3408.206,,34 1:37.528,1:37.528,97.528,3456.063,,34 1:37.895,1:37.895,97.895,3460.362,,34 1:38.266,1:38.266,98.266,3447.616,,34 1:38.130,1:38.130,98.13,3435.987,,34 1:37.037,1:37.037,97.037,3451.282,,34 1:37.774,1:37.774,97.774,3429.325,,34 1:38.135,1:38.135,98.135,3412.234,,34 1:37.311,1:37.311,97.311,3418.562,,33,3253.794,0.000,14.157,25.834,56.937,60.305,67.457,38.497,66.348,121.493,,151.863,83.223,84.063,95.556,82.505,93.820,104.741,108.673,77.757,100.451
35 1:37.850,1:37.850,97.850,3449.483,,35 1:58.785,1:58.785,118.785,3487.422,,35 1:38.029,1:38.029,98.029,3543.545,,35 1:37.984,1:37.984,97.984,3532.244,,35 1:37.870,1:37.870,97.870,3571.144,,,,,,,35 1:38.088,1:38.088,98.088,3533.127,,35 1:36.964,1:36.964,96.964,3599.418,,35 1:57.389,1:57.389,117.389,3510.033,,35 1:37.521,1:37.521,97.521,3514.831,,35 1:38.073,1:38.073,98.073,3497.178,,35 1:37.441,1:37.441,97.441,3505.647,,35 1:37.460,1:37.460,97.46,3553.523,,35 1:38.093,1:38.093,98.093,3558.455,,35 1:38.123,1:38.123,98.123,3545.739,,35 1:38.163,1:38.163,98.163,3534.15,,35 1:37.550,1:37.550,97.55,3548.832,,35 1:37.817,1:37.817,97.817,3527.142,,35 1:36.831,1:36.831,96.831,3509.065,,35 1:37.592,1:37.592,97.592,3516.154,,34,3351.633,0.000,17.004,47.472,56.573,60.601,66.929,41.011,65.677,121.641,,150.821,83.406,84.354,95.983,82.627,93.883,104.430,108.729,77.692,99.649
36 P 1:40.964,1:40.964,100.964,3550.447,,36 1:36.820,1:36.820,96.820,3584.242,,36 1:37.717,1:37.717,97.717,3641.262,,36 1:38.176,1:38.176,98.176,3630.420,,36 1:39.886,1:39.886,99.886,3671.030,,,,,,,36 1:38.184,1:38.184,98.184,3631.311,,36 1:37.364,1:37.364,97.364,3696.782,,36 1:36.156,1:36.156,96.156,3606.189,,36 1:37.720,1:37.720,97.720,3612.551,,36 1:37.313,1:37.313,97.313,3594.491,,36 1:37.706,1:37.706,97.706,3603.353,,36 1:37.754,1:37.754,97.754,3651.277,,36 1:38.245,1:38.245,98.245,3656.7,,36 1:38.206,1:38.206,98.206,3643.945,,36 1:38.059,1:38.059,98.059,3632.209,,36 1:37.957,1:37.957,97.957,3646.789,,36 1:37.827,1:37.827,97.827,3624.969,,36 1:36.546,1:36.546,96.546,3605.611,,36 1:37.607,1:37.607,97.607,3613.761,,35,3449.483,0.000,37.939,47.695,56.164,59.582,66.671,60.550,65.348,121.661,,149.935,83.644,84.667,96.256,82.761,94.062,104.040,108.972,77.659,99.349
37 1:58.490,1:58.490,118.490,3668.937,,37 1:36.344,1:36.344,96.344,3680.586,,37 1:37.831,1:37.831,97.831,3739.093,,37 1:38.038,1:38.038,98.038,3728.458,,37 P 1:40.197,1:40.197,100.197,3771.227,,,,,,,37 1:38.133,1:38.133,98.133,3729.444,,37 1:37.338,1:37.338,97.338,3794.120,,37 1:37.431,1:37.431,97.431,3703.620,,37 1:37.680,1:37.680,97.680,3710.231,,37 1:37.170,1:37.170,97.17,3691.661,,37 1:37.130,1:37.130,97.13,3700.483,,37 1:37.998,1:37.998,97.998,3749.275,,37 1:38.108,1:38.108,98.108,3754.808,,37 1:38.423,1:38.423,98.423,3742.368,,37 1:38.075,1:38.075,98.075,3730.284,,37 1:38.003,1:38.003,98.003,3744.792,,37 1:37.774,1:37.774,97.774,3722.743,,37 1:37.388,1:37.388,97.388,3702.999,,37 1:37.822,1:37.822,97.822,3711.583,,36,3550.447,0.000,33.795,44.044,52.906,55.164,63.314,55.742,62.104,120.583,,146.335,80.864,81.762,93.498,79.973,90.815,100.830,106.253,74.522,96.342
38 1:36.297,1:36.297,96.297,3765.234,,38 1:36.431,1:36.431,96.431,3777.017,,38 1:38.015,1:38.015,98.015,3837.108,,38 1:38.330,1:38.330,98.330,3826.788,,38 2:08.682,2:08.682,128.682,3899.909,,,,,,,38 1:38.108,1:38.108,98.108,3827.552,,38 1:37.216,1:37.216,97.216,3891.336,,38 1:37.002,1:37.002,97.002,3800.622,,38 1:37.274,1:37.274,97.274,3807.505,,38 1:37.170,1:37.170,97.17,3788.831,,38 1:37.444,1:37.444,97.444,3797.927,,38 1:38.303,1:38.303,98.303,3847.578,,38 1:38.191,1:38.191,98.191,3852.999,,38 1:38.379,1:38.379,98.379,3840.747,,38 1:38.084,1:38.084,98.084,3828.368,,38 1:38.422,1:38.422,98.422,3843.214,,38 1:37.658,1:37.658,97.658,3820.401,,38 1:38.304,1:38.304,98.304,3801.303,,38 1:37.660,1:37.660,97.66,3809.243,,37,3668.937,0.000,11.649,22.724,31.546,34.062,42.646,34.683,41.294,102.290,,125.183,60.507,61.347,73.431,59.521,70.156,80.338,85.871,53.806,75.855
39 1:36.446,1:36.446,96.446,3861.680,,39 1:36.429,1:36.429,96.429,3873.446,,39 1:37.971,1:37.971,97.971,3935.079,,39 1:38.346,1:38.346,98.346,3925.134,,39 1:38.347,1:38.347,98.347,3998.256,,,,,,,39 1:38.537,1:38.537,98.537,3926.089,,39 1:37.523,1:37.523,97.523,3988.859,,39 1:37.243,1:37.243,97.243,3897.865,,39 1:37.456,1:37.456,97.456,3904.961,,39 1:37.287,1:37.287,97.287,3886.118,,39 1:37.403,1:37.403,97.403,3895.33,,39 1:38.587,1:38.587,98.587,3946.165,,39 1:38.184,1:38.184,98.184,3951.183,,39 1:38.535,1:38.535,98.535,3939.282,,39 1:38.419,1:38.419,98.419,3926.787,,39 1:38.368,1:38.368,98.368,3941.582,,39 1:37.784,1:37.784,97.784,3918.185,,39 1:37.478,1:37.478,97.478,3898.781,,39 1:37.495,1:37.495,97.495,3906.738,,38,3765.234,0.000,11.783,23.597,32.693,36.069,44.009,35.388,42.271,134.675,,126.102,62.318,63.134,75.513,61.554,71.874,82.344,87.765,55.167,77.980
40 1:36.942,1:36.942,96.942,3958.622,,40 1:37.114,1:37.114,97.114,3970.560,,40 P 1:53.753,1:53.753,113.753,4048.832,,40 P 1:50.177,1:50.177,110.177,4035.311,,40 2:07.970,2:07.970,127.970,4126.226,,,,,,,40 P 1:49.707,1:49.707,109.707,4035.796,,40 2:08.023,2:08.023,128.023,4116.882,,40 1:37.208,1:37.208,97.208,3995.073,,40 1:37.916,1:37.916,97.916,4002.877,,,,,,,40 1:37.587,1:37.587,97.587,3992.917,,40 P 1:57.797,1:57.797,117.797,4063.962,,40 P 1:58.689,1:58.689,118.689,4069.872,,40 1:53.544,1:53.544,113.544,4052.826,,40 P 1:50.350,1:50.350,110.35,4037.137,,40 1:53.456,1:53.456,113.456,4055.038,,40 1:50.376,1:50.376,110.376,4028.561,,40 1:37.494,1:37.494,97.494,3996.275,,40 1:38.085,1:38.085,98.085,4004.823,,39,3861.680,0.000,11.766,24.438,33.650,37.101,45.058,36.185,43.281,136.576,,127.179,64.409,65.107,77.602,63.454,73.399,84.485,89.503,56.505,79.902
41 2:00.495,2:00.495,120.495,4079.117,,41 2:03.522,2:03.522,123.522,4094.082,,41 2:05.614,2:05.614,125.614,4174.446,,41 2:08.659,2:08.659,128.659,4163.970,,41 1:36.705,1:36.705,96.705,4222.931,,,,,,,41 2:08.544,2:08.544,128.544,4164.340,,41 P 1:42.684,1:42.684,102.684,4219.566,,41 2:06.713,2:06.713,126.713,4121.786,,41 2:06.809,2:06.809,126.809,4129.686,,,,,,,41 2:06.436,2:06.436,126.436,4119.353,,41 2:02.547,2:02.547,122.547,4186.509,,41 2:05.275,2:05.275,125.275,4195.147,,41 1:54.359,1:54.359,114.359,4167.185,,41 2:10.782,2:10.782,130.782,4167.919,,41 1:52.500,1:52.500,112.5,4167.538,,41 1:55.281,1:55.281,115.281,4143.842,,41 2:06.491,2:06.491,126.491,4122.766,,41 2:06.293,2:06.293,126.293,4131.116,,40,3958.622,0.000,11.938,,34.295,37.653,46.201,36.451,44.255,167.604,,158.260,77.174,78.515,94.204,76.689,90.210,105.340,111.250,69.939,96.416
42 1:44.824,1:44.824,104.824,4183.941,,42 1:39.657,1:39.657,99.657,4193.739,,42 1:36.037,1:36.037,96.037,4270.483,,42 1:37.211,1:37.211,97.211,4261.181,,42 1:36.668,1:36.668,96.668,4319.599,,,,,,,42 1:35.068,1:35.068,95.068,4259.408,,,,,,,42 1:36.334,1:36.334,96.334,4218.120,,42 1:37.298,1:37.298,97.298,4226.984,,,,,,,42 1:37.375,1:37.375,97.375,4216.728,,42 1:36.471,1:36.471,96.471,4282.98,,42 1:36.616,1:36.616,96.616,4291.763,,42 1:39.873,1:39.873,99.873,4267.058,,42 1:36.637,1:36.637,96.637,4264.556,,42 1:39.904,1:39.904,99.904,4267.442,,42 1:37.736,1:37.736,97.736,4241.578,,42 1:37.061,1:37.061,97.061,4219.827,,42 1:37.035,1:37.035,97.035,4228.151,,41,4079.117,0.000,14.965,,40.236,43.649,51.999,42.669,50.569,143.814,,140.449,85.223,88.802,88.068,84.853,95.329,107.392,116.030,64.725,88.421
43 1:36.890,1:36.890,96.890,4280.831,,43 1:36.554,1:36.554,96.554,4290.293,,43 1:36.801,1:36.801,96.801,4367.284,,43 1:37.144,1:37.144,97.144,4358.325,,43 1:36.687,1:36.687,96.687,4416.286,,,,,,,43 1:35.942,1:35.942,95.942,4355.350,,,,,,,43 1:36.911,1:36.911,96.911,4315.031,,43 1:37.304,1:37.304,97.304,4324.288,,,,,,,43 1:37.294,1:37.294,97.294,4314.022,,43 1:36.942,1:36.942,96.942,4379.922,,43 1:36.793,1:36.793,96.793,4388.556,,43 1:40.177,1:40.177,100.177,4367.235,,43 1:37.028,1:37.028,97.028,4361.584,,43 1:38.311,1:38.311,98.311,4365.753,,43 1:37.813,1:37.813,97.813,4339.391,,43 1:37.111,1:37.111,97.111,4316.938,,43 1:37.480,1:37.480,97.48,4325.631,,42,4183.941,0.000,9.798,,32.787,35.886,44.210,34.179,43.043,135.658,,,75.467,80.615,83.117,77.240,86.542,99.039,107.822,57.637,83.501
44 1:36.236,1:36.236,96.236,4377.067,,44 1:36.978,1:36.978,96.978,4387.271,,44 1:37.407,1:37.407,97.407,4464.691,,44 1:37.327,1:37.327,97.327,4455.652,,44 1:37.219,1:37.219,97.219,4513.505,,,,,,,44 1:35.792,1:35.792,95.792,4451.142,,,,,,,44 1:37.022,1:37.022,97.022,4412.053,,44 1:37.299,1:37.299,97.299,4421.587,,,,,,,44 1:37.389,1:37.389,97.389,4411.411,,44 1:36.588,1:36.588,96.588,4476.51,,44 1:37.076,1:37.076,97.076,4485.632,,44 1:39.588,1:39.588,99.588,4466.823,,44 1:37.010,1:37.010,97.01,4458.594,,44 1:37.974,1:37.974,97.974,4463.727,,44 1:37.868,1:37.868,97.868,4437.259,,44 1:37.048,1:37.048,97.048,4413.986,,44 1:37.597,1:37.597,97.597,4423.228,,43,4280.831,0.000,9.462,,33.191,36.107,44.800,34.200,43.457,135.455,,,74.519,80.753,86.404,77.494,86.453,99.091,107.725,58.560,84.922
