1 Max VERSTAPPEN,,MV_Laptime_s,MV_Cumulative,,11 Sergio PEREZ,,SP_Laptime_s,SP_Cumulative,,2 Logan SARGEANT,,LS_Laptime_s,LS_Cumulative,,23 Alex ALBON,,AA_Laptime_s,AA_Cumulative,,4 Lando NORRIS,,LN_Laptime_s,LN_Cumulative,,81 Oscar PIASTRI,,OP_Laptime_s,OP_Cumulative,,10 Pierre GASLY,,PG_Laptime_s,PG_Cumulative,,31 Esteban OCON,,EO_Laptime_s,EO_Cumulative,,14 Fernando ALONSO,,FA_Laptime_s,FA_Cumulative,,18 Lance STROLL,,LS_Laptime_s,LS_Cumulative,,16 Charles LECLERC,,CL_Laptime_s,CL_Cumulative,,38 Oliver BEARMAN,,OB_Laptime_s,OB_Cumulative,,20 Kevin MAGNUSSEN,,KM_Laptime_s,KM_Cumulative,,27 Nico HULKENBERG,,NH_Laptime_s,NH_Cumulative,,3 Daniel RICCIARDO,,RIC_Laptime_s,RIC_Cumulative,,22 Yuki TSUNODA,,YT_Laptime_s,YT_Cumulative,,24 Guanyu ZHOU,,GZ_Laptime_s,GZ_Cumulative,,77 Valterri BOTTAS,,VB_Laptime_s,VB_Cumulative,,44 Lewis HAMILTON,,LH_Laptime_s,LH_Cumulative,,63 George RUSSELL,,GR_Laptime_s,GR_Cumulative,,,,RBR1,RBR2,SF1,SF2,M-AMG1,M_AMG2,AMR1,AMR2,MCL1,MCL2,ALP1,ALP2,ATO1,ATO2,WIL1,WIL2,HAS1,HAS2,SAUB1,SAUB2
11 1:33.610,1:33.610,93.610,1226.769,,11 1:33.859,1:33.859,93.859,1228.509,,11 1:36.468,1:36.468,96.468,1239.128,,11 1:36.232,1:36.232,96.232,1237.858,,11 1:33.674,1:33.674,93.674,1225.911,,11 1:34.448,1:34.448,94.448,1230.428,,,,#VALUE!,#VALUE!,,11 1:35.969,1:35.969,95.969,1237.077,,11 1:34.530,1:34.530,94.530,1231.377,,,,,,,11 1:34.443,1:34.443,94.443,1229.658,,11 1:35.645,1:35.645,95.645,1234.856,,11 1:36.036,1:36.036,96.036,1236.531,,11 1:34.864,1:34.864,94.864,1232.269,,11 1:36.819,1:36.819,96.819,1239.94,,11 1:35.738,1:35.738,95.738,1235.681,,11 1:35.695,1:35.695,95.695,1234.281,,11 1:36.456,1:36.456,96.456,1238.463,,11 1:34.334,1:34.334,94.334,1228.022,,11 1:35.048,1:35.048,95.048,1232.95,,10,942.050,191.109,192.600,193.165,197.161,191.638,195.852,194.797,,190.187,193.930,199.058,,197.893,201.071,199.576,200.610,198.445,195.355,199.957,196.536
12 1:33.321,1:33.321,93.321,1320.090,,12 1:33.930,1:33.930,93.930,1322.439,,12 1:35.642,1:35.642,95.642,1334.770,,12 1:35.441,1:35.441,95.441,1333.299,,12 1:33.877,1:33.877,93.877,1319.788,,12 1:33.946,1:33.946,93.946,1324.374,,,,#VALUE!,#VALUE!,,12 1:35.400,1:35.400,95.400,1332.477,,12 1:34.735,1:34.735,94.735,1326.112,,,,,,,12 1:33.599,1:33.599,93.599,1323.257,,12 1:34.907,1:34.907,94.907,1329.763,,12 1:35.229,1:35.229,95.229,1331.76,,12 1:34.605,1:34.605,94.605,1326.874,,12 1:36.095,1:36.095,96.095,1336.035,,12 1:35.263,1:35.263,95.263,1330.944,,12 1:34.998,1:34.998,94.998,1329.279,,12 1:35.827,1:35.827,95.827,1334.29,,12 1:34.018,1:34.018,94.018,1322.04,,12 1:34.488,1:34.488,94.488,1327.438,,11,1036.255,190.514,192.254,193.403,198.601,191.767,196.695,195.122,,189.656,194.173,200.822,,199.426,203.685,201.603,202.873,200.276,196.014,202.208,198.026
13 1:33.144,1:33.144,93.144,1413.234,,13 1:34.053,1:34.053,94.053,1416.492,,13 1:35.751,1:35.751,95.751,1430.521,,13 1:35.213,1:35.213,95.213,1428.512,,13 1:35.131,1:35.131,95.131,1414.919,,13 1:34.340,1:34.340,94.34,1418.714,,,,#VALUE!,#VALUE!,,13 1:35.107,1:35.107,95.107,1427.584,,13 1:34.664,1:34.664,94.664,1420.776,,,,,,,13 1:34.627,1:34.627,94.627,1417.884,,13 1:35.153,1:35.153,95.153,1424.916,,13 1:35.062,1:35.062,95.062,1426.822,,13 1:35.367,1:35.367,95.367,1422.241,,13 1:36.337,1:36.337,96.337,1432.372,,13 1:35.325,1:35.325,95.325,1426.269,,13 1:35.355,1:35.355,95.355,1424.634,,13 1:35.447,1:35.447,95.447,1429.737,,13 1:35.312,1:35.312,95.312,1417.352,,13 1:35.082,1:35.082,95.082,1422.52,,12,1130.460,189.630,191.979,192.797,199.303,191.580,196.978,195.652,,189.328,193.914,202.017,,200.484,205.575,202.839,204.310,201.300,196.414,203.830,198.819
14 1:33.194,1:33.194,93.194,1506.428,,14 1:33.814,1:33.814,93.814,1510.306,,14 1:35.207,1:35.207,95.207,1525.728,,14 1:35.181,1:35.181,95.181,1523.693,,14 1:33.971,1:33.971,93.971,1508.890,,14 1:34.431,1:34.431,94.431,1513.145,,,,#VALUE!,#VALUE!,,14 1:35.432,1:35.432,95.432,1523.016,,14 1:34.877,1:34.877,94.877,1515.653,,,,,,,14 1:34.039,1:34.039,94.039,1511.923,,14 1:35.479,1:35.479,95.479,1520.395,,14 1:35.553,1:35.553,95.553,1522.375,,14 1:36.481,1:36.481,96.481,1518.722,,14 1:35.606,1:35.606,95.606,1527.978,,14 1:35.575,1:35.575,95.575,1521.844,,14 1:36.658,1:36.658,96.658,1521.292,,14 1:35.424,1:35.424,95.424,1525.161,,14 1:34.341,1:34.341,94.341,1511.693,,14 1:34.379,1:34.379,94.379,1516.899,,13,1224.665,188.569,191.827,193.219,200.251,192.687,197.855,196.111,,190.254,194.049,202.919,,201.604,207.707,203.847,205.856,202.157,197.576,205.072,199.969
15 1:33.512,1:33.512,93.512,1599.940,,15 1:33.450,1:33.450,93.450,1603.756,,15 1:35.601,1:35.601,95.601,1621.329,,15 1:35.533,1:35.533,95.533,1619.226,,15 1:33.944,1:33.944,93.944,1602.834,,15 1:34.309,1:34.309,94.309,1607.454,,,,#VALUE!,#VALUE!,,15 1:35.717,1:35.717,95.717,1618.733,,15 1:34.678,1:34.678,94.678,1610.331,,,,,,,15 1:34.225,1:34.225,94.225,1606.148,,15 1:35.118,1:35.118,95.118,1615.513,,15 1:35.746,1:35.746,95.746,1618.121,,15 1:35.495,1:35.495,95.495,1614.217,,15 1:35.466,1:35.466,95.466,1623.444,,15 1:35.952,1:35.952,95.952,1617.796,,15 1:36.053,1:36.053,96.053,1617.345,,15 1:35.721,1:35.721,95.721,1620.882,,15 1:35.355,1:35.355,95.355,1607.048,,15 1:34.803,1:34.803,94.803,1611.702,,14,1318.870,187.558,191.436,193.053,201.525,192.823,198.029,196.783,,190.020,194.275,204.146,,202.974,209.108,204.823,206.858,203.505,199.852,206.291,202.422
16 1:33.192,1:33.192,93.192,1693.132,,16 1:33.536,1:33.536,93.536,1697.292,,16 1:36.062,1:36.062,96.062,1717.391,,16 1:36.470,1:36.470,96.470,1715.696,,16 1:33.858,1:33.858,93.858,1696.692,,16 1:34.379,1:34.379,94.379,1701.833,,,,#VALUE!,#VALUE!,,16 1:36.245,1:36.245,96.245,1714.978,,16 1:34.773,1:34.773,94.773,1705.104,,,,,,,16 1:34.033,1:34.033,94.033,1700.181,,16 1:34.715,1:34.715,94.715,1710.228,,16 1:36.100,1:36.100,96.1,1714.221,,16 1:35.153,1:35.153,95.153,1709.37,,16 1:35.805,1:35.805,95.805,1719.249,,16 1:35.995,1:35.995,95.995,1713.791,,16 1:36.065,1:36.065,96.065,1713.41,,16 1:36.825,1:36.825,96.825,1717.707,,16 1:34.435,1:34.435,94.435,1701.483,,16 1:34.638,1:34.638,94.638,1706.34,,15,1413.075,186.865,190.681,193.073,202.438,193.973,198.627,197.256,,189.759,194.379,205.658,,204.721,210.369,206.151,208.254,205.046,201.142,207.807,204.270
17 1:33.059,1:33.059,93.059,1786.191,,17 1:34.169,1:34.169,94.169,1791.461,,17 1:36.336,1:36.336,96.336,1813.727,,17 1:37.029,1:37.029,97.029,1812.725,,17 1:34.497,1:34.497,94.497,1791.189,,17 1:35.057,1:35.057,95.057,1796.89,,,,#VALUE!,#VALUE!,,17 1:37.264,1:37.264,97.264,1812.242,,17 1:34.695,1:34.695,94.695,1799.799,,,,,,,17 1:34.073,1:34.073,94.073,1794.254,,17 1:34.681,1:34.681,94.681,1804.909,,17 1:36.621,1:36.621,96.621,1810.842,,17 1:35.205,1:35.205,95.205,1804.575,,17 1:36.267,1:36.267,96.267,1815.516,,17 1:37.603,1:37.603,97.603,1811.394,,17 1:35.882,1:35.882,95.882,1809.292,,17 1:37.238,1:37.238,97.238,1814.945,,17 1:34.811,1:34.811,94.811,1796.294,,17 1:34.907,1:34.907,94.907,1801.247,,16,1507.280,185.852,190.012,192.901,202.948,194.203,199.060,197.824,,189.412,194.553,207.698,,206.511,211.969,208.416,210.111,206.941,202.090,210.427,206.130
18 1:33.139,1:33.139,93.139,1879.330,,18 1:33.282,1:33.282,93.282,1884.743,,18 1:36.039,1:36.039,96.039,1909.766,,18 1:35.608,1:35.608,95.608,1908.333,,18 1:35.607,1:35.607,95.607,1886.796,,18 1:34.075,1:34.075,94.075,1890.965,,,,#VALUE!,#VALUE!,,18 1:35.436,1:35.436,95.436,1907.678,,18 1:34.651,1:34.651,94.651,1894.450,,,,,,,18 1:34.142,1:34.142,94.142,1888.396,,18 1:35.270,1:35.270,95.27,1900.179,,18 1:35.266,1:35.266,95.266,1906.108,,18 1:35.687,1:35.687,95.687,1900.262,,18 1:36.093,1:36.093,96.093,1911.609,,18 1:35.367,1:35.367,95.367,1906.761,,18 1:35.466,1:35.466,95.466,1904.758,,18 1:36.058,1:36.058,96.058,1911.003,,18 1:34.307,1:34.307,94.307,1890.601,,18 1:34.559,1:34.559,94.559,1895.806,,17,1601.485,184.706,189.976,192.769,203.424,194.809,199.762,198.314,,189.704,195.405,210.757,,209.909,214.031,211.240,212.242,209.357,203.090,213.460,207.807
19 1:33.135,1:33.135,93.135,1972.465,,19 1:33.545,1:33.545,93.545,1978.288,,19 1:35.361,1:35.361,95.361,2005.127,,19 1:35.064,1:35.064,95.064,2003.397,,19 1:34.194,1:34.194,94.194,1980.990,,19 1:34.631,1:34.631,94.631,1985.596,,,,#VALUE!,#VALUE!,,19 1:35.152,1:35.152,95.152,2002.830,,19 1:34.576,1:34.576,94.576,1989.026,,,,,,,19 1:33.940,1:33.940,93.94,1982.336,,19 1:35.616,1:35.616,95.616,1995.795,,19 1:35.220,1:35.220,95.22,2001.328,,19 1:35.174,1:35.174,95.174,1995.436,,19 1:35.853,1:35.853,95.853,2007.462,,19 1:35.146,1:35.146,95.146,2001.907,,19 1:35.407,1:35.407,95.407,2000.165,,19 1:35.828,1:35.828,95.828,2006.831,,19 1:34.524,1:34.524,94.524,1985.125,,19 1:34.395,1:34.395,94.395,1990.201,,18,1695.690,183.640,189.053,192.706,204.489,194.911,200.116,198.760,,191.106,195.275,211.988,,211.071,215.919,212.643,214.076,210.418,204.572,215.313,209.068
20 1:33.066,1:33.066,93.066,2065.531,,20 1:33.377,1:33.377,93.377,2071.665,,20 1:35.251,1:35.251,95.251,2100.378,,20 1:35.278,1:35.278,95.278,2098.675,,20 1:34.003,1:34.003,94.003,2074.993,,20 1:34.324,1:34.324,94.324,2079.92,,,,#VALUE!,#VALUE!,,20 1:35.020,1:35.020,95.020,2097.850,,20 1:34.390,1:34.390,94.390,2083.416,,,,,,,20 1:33.949,1:33.949,93.949,2076.285,,20 1:34.828,1:34.828,94.828,2090.623,,20 1:35.012,1:35.012,95.012,2096.34,,20 1:35.067,1:35.067,95.067,2090.503,,20 1:36.073,1:36.073,96.073,2103.535,,20 1:35.060,1:35.060,95.06,2096.967,,20 1:35.087,1:35.087,95.087,2095.252,,20 1:36.253,1:36.253,96.253,2103.084,,20 1:34.225,1:34.225,94.225,2079.35,,20 1:34.457,1:34.457,94.457,2084.658,,19,1789.895,182.570,188.393,192.441,205.900,195.230,200.306,199.131,,191.095,195.701,212.935,,212.012,217.567,213.502,215.232,211.433,205.541,216.936,210.270
