1 Max VERSTAPPEN,,MV_Laptime_s,MV_Cumulative,,11 Sergio PEREZ,,SP_Laptime_s,SP_Cumulative,,2 Logan SARGEANT,,LS_Laptime_s,LS_Cumulative,,23 Alex ALBON,,AA_Laptime_s,AA_Cumulative,,4 Lando NORRIS,,LN_Laptime_s,LN_Cumulative,,81 Oscar PIASTRI,,OP_Laptime_s,OP_Cumulative,,10 Pierre GASLY,,PG_Laptime_s,PG_Cumulative,,31 Esteban OCON,,EO_Laptime_s,EO_Cumulative,,14 Fernando ALONSO,,FA_Laptime_s,FA_Cumulative,,18 Lance STROLL,,LS_Laptime_s,LS_Cumulative,,16 Charles LECLERC,,CL_Laptime_s,CL_Cumulative,,38 Oliver BEARMAN,,OB_Laptime_s,OB_Cumulative,,20 Kevin MAGNUSSEN,,KM_Laptime_s,KM_Cumulative,,27 Nico HULKENBERG,,NH_Laptime_s,NH_Cumulative,,3 Daniel RICCIARDO,,RIC_Laptime_s,RIC_Cumulative,,22 Yuki TSUNODA,,YT_Laptime_s,YT_Cumulative,,24 Guanyu ZHOU,,GZ_Laptime_s,GZ_Cumulative,,77 Valterri BOTTAS,,VB_Laptime_s,VB_Cumulative,,44 Lewis HAMILTON,,LH_Laptime_s,LH_Cumulative,,63 George RUSSELL,,GR_Laptime_s,GR_Cumulative,,,,RBR1,RBR2,SF1,SF2,M-AMG1,M_AMG2,AMR1,AMR2,MCL1,MCL2,ALP1,ALP2,ATO1,ATO2,WIL1,WIL2,HAS1,HAS2,SAUB1,SAUB2
11 1:33.610,1:33.610,93.610,1226.769,,11 1:33.859,1:33.859,93.859,1228.509,,11 1:36.468,1:36.468,96.468,1239.128,,11 1:36.232,1:36.232,96.232,1237.858,,11 1:33.674,1:33.674,93.674,1225.911,,11 1:34.448,1:34.448,94.448,1230.428,,,,#VALUE!,#VALUE!,,11 1:35.969,1:35.969,95.969,1237.077,,11 1:34.530,1:34.530,94.530,1231.377,,,,,,,11 1:34.443,1:34.443,94.443,1229.658,,11 1:35.645,1:35.645,95.645,1234.856,,11 1:36.036,1:36.036,96.036,1236.531,,11 1:34.864,1:34.864,94.864,1232.269,,11 1:36.819,1:36.819,96.819,1239.94,,11 1:35.738,1:35.738,95.738,1235.681,,11 1:35.695,1:35.695,95.695,1234.281,,11 1:36.456,1:36.456,96.456,1238.463,,11 1:34.334,1:34.334,94.334,1228.022,,11 1:35.048,1:35.048,95.048,1232.95,,10,1133.159,0.000,1.491,2.056,6.052,0.529,4.743,3.688,,-0.922,2.821,7.949,,6.784,9.962,8.467,9.501,7.336,4.246,8.848,5.427
12 1:33.321,1:33.321,93.321,1320.090,,12 1:33.930,1:33.930,93.930,1322.439,,12 1:35.642,1:35.642,95.642,1334.770,,12 1:35.441,1:35.441,95.441,1333.299,,12 1:33.877,1:33.877,93.877,1319.788,,12 1:33.946,1:33.946,93.946,1324.374,,,,#VALUE!,#VALUE!,,12 1:35.400,1:35.400,95.400,1332.477,,12 1:34.735,1:34.735,94.735,1326.112,,,,,,,12 1:33.599,1:33.599,93.599,1323.257,,12 1:34.907,1:34.907,94.907,1329.763,,12 1:35.229,1:35.229,95.229,1331.76,,12 1:34.605,1:34.605,94.605,1326.874,,12 1:36.095,1:36.095,96.095,1336.035,,12 1:35.263,1:35.263,95.263,1330.944,,12 1:34.998,1:34.998,94.998,1329.279,,12 1:35.827,1:35.827,95.827,1334.29,,12 1:34.018,1:34.018,94.018,1322.04,,12 1:34.488,1:34.488,94.488,1327.438,,11,1226.769,0.000,1.740,2.889,8.087,1.253,6.181,4.608,,-0.858,3.659,10.308,,8.912,13.171,11.089,12.359,9.762,5.500,11.694,7.512
13 1:33.144,1:33.144,93.144,1413.234,,13 1:34.053,1:34.053,94.053,1416.492,,13 1:35.751,1:35.751,95.751,1430.521,,13 1:35.213,1:35.213,95.213,1428.512,,13 1:35.131,1:35.131,95.131,1414.919,,13 1:34.340,1:34.340,94.34,1418.714,,,,#VALUE!,#VALUE!,,13 1:35.107,1:35.107,95.107,1427.584,,13 1:34.664,1:34.664,94.664,1420.776,,,,,,,13 1:34.627,1:34.627,94.627,1417.884,,13 1:35.153,1:35.153,95.153,1424.916,,13 1:35.062,1:35.062,95.062,1426.822,,13 1:35.367,1:35.367,95.367,1422.241,,13 1:36.337,1:36.337,96.337,1432.372,,13 1:35.325,1:35.325,95.325,1426.269,,13 1:35.355,1:35.355,95.355,1424.634,,13 1:35.447,1:35.447,95.447,1429.737,,13 1:35.312,1:35.312,95.312,1417.352,,13 1:35.082,1:35.082,95.082,1422.52,,12,1320.090,0.000,2.349,3.167,9.673,1.950,7.348,6.022,,-0.302,4.284,12.387,,10.854,15.945,13.209,14.680,11.670,6.784,14.200,9.189
14 1:33.194,1:33.194,93.194,1506.428,,14 1:33.814,1:33.814,93.814,1510.306,,14 1:35.207,1:35.207,95.207,1525.728,,14 1:35.181,1:35.181,95.181,1523.693,,14 1:33.971,1:33.971,93.971,1508.890,,14 1:34.431,1:34.431,94.431,1513.145,,,,#VALUE!,#VALUE!,,14 1:35.432,1:35.432,95.432,1523.016,,14 1:34.877,1:34.877,94.877,1515.653,,,,,,,14 1:34.039,1:34.039,94.039,1511.923,,14 1:35.479,1:35.479,95.479,1520.395,,14 1:35.553,1:35.553,95.553,1522.375,,14 1:36.481,1:36.481,96.481,1518.722,,14 1:35.606,1:35.606,95.606,1527.978,,14 1:35.575,1:35.575,95.575,1521.844,,14 1:36.658,1:36.658,96.658,1521.292,,14 1:35.424,1:35.424,95.424,1525.161,,14 1:34.341,1:34.341,94.341,1511.693,,14 1:34.379,1:34.379,94.379,1516.899,,13,1413.234,0.000,3.258,4.650,11.682,4.118,9.286,7.542,,1.685,5.480,14.350,,13.035,19.138,15.278,17.287,13.588,9.007,16.503,11.400
15 1:33.512,1:33.512,93.512,1599.940,,15 1:33.450,1:33.450,93.450,1603.756,,15 1:35.601,1:35.601,95.601,1621.329,,15 1:35.533,1:35.533,95.533,1619.226,,15 1:33.944,1:33.944,93.944,1602.834,,15 1:34.309,1:34.309,94.309,1607.454,,,,#VALUE!,#VALUE!,,15 1:35.717,1:35.717,95.717,1618.733,,15 1:34.678,1:34.678,94.678,1610.331,,,,,,,15 1:34.225,1:34.225,94.225,1606.148,,15 1:35.118,1:35.118,95.118,1615.513,,15 1:35.746,1:35.746,95.746,1618.121,,15 1:35.495,1:35.495,95.495,1614.217,,15 1:35.466,1:35.466,95.466,1623.444,,15 1:35.952,1:35.952,95.952,1617.796,,15 1:36.053,1:36.053,96.053,1617.345,,15 1:35.721,1:35.721,95.721,1620.882,,15 1:35.355,1:35.355,95.355,1607.048,,15 1:34.803,1:34.803,94.803,1611.702,,14,1506.428,0.000,3.878,5.495,13.967,5.265,10.471,9.225,,2.462,6.717,16.588,,15.416,21.550,17.265,19.300,15.947,12.294,18.733,14.864
16 1:33.192,1:33.192,93.192,1693.132,,16 1:33.536,1:33.536,93.536,1697.292,,16 1:36.062,1:36.062,96.062,1717.391,,16 1:36.470,1:36.470,96.470,1715.696,,16 1:33.858,1:33.858,93.858,1696.692,,16 1:34.379,1:34.379,94.379,1701.833,,,,#VALUE!,#VALUE!,,16 1:36.245,1:36.245,96.245,1714.978,,16 1:34.773,1:34.773,94.773,1705.104,,,,,,,16 1:34.033,1:34.033,94.033,1700.181,,16 1:34.715,1:34.715,94.715,1710.228,,16 1:36.100,1:36.100,96.1,1714.221,,16 1:35.153,1:35.153,95.153,1709.37,,16 1:35.805,1:35.805,95.805,1719.249,,16 1:35.995,1:35.995,95.995,1713.791,,16 1:36.065,1:36.065,96.065,1713.41,,16 1:36.825,1:36.825,96.825,1717.707,,16 1:34.435,1:34.435,94.435,1701.483,,16 1:34.638,1:34.638,94.638,1706.34,,15,1599.940,0.000,3.816,6.208,15.573,7.108,11.762,10.391,,2.894,7.514,18.793,,17.856,23.504,19.286,21.389,18.181,14.277,20.942,17.405
17 1:33.059,1:33.059,93.059,1786.191,,17 1:34.169,1:34.169,94.169,1791.461,,17 1:36.336,1:36.336,96.336,1813.727,,17 1:37.029,1:37.029,97.029,1812.725,,17 1:34.497,1:34.497,94.497,1791.189,,17 1:35.057,1:35.057,95.057,1796.89,,,,#VALUE!,#VALUE!,,17 1:37.264,1:37.264,97.264,1812.242,,17 1:34.695,1:34.695,94.695,1799.799,,,,,,,17 1:34.073,1:34.073,94.073,1794.254,,17 1:34.681,1:34.681,94.681,1804.909,,17 1:36.621,1:36.621,96.621,1810.842,,17 1:35.205,1:35.205,95.205,1804.575,,17 1:36.267,1:36.267,96.267,1815.516,,17 1:37.603,1:37.603,97.603,1811.394,,17 1:35.882,1:35.882,95.882,1809.292,,17 1:37.238,1:37.238,97.238,1814.945,,17 1:34.811,1:34.811,94.811,1796.294,,17 1:34.907,1:34.907,94.907,1801.247,,16,1693.132,0.000,4.160,7.049,17.096,8.351,13.208,11.972,,3.560,8.701,21.846,,20.659,26.117,22.564,24.259,21.089,16.238,24.575,20.278
18 1:33.139,1:33.139,93.139,1879.330,,18 1:33.282,1:33.282,93.282,1884.743,,18 1:36.039,1:36.039,96.039,1909.766,,18 1:35.608,1:35.608,95.608,1908.333,,18 1:35.607,1:35.607,95.607,1886.796,,18 1:34.075,1:34.075,94.075,1890.965,,,,#VALUE!,#VALUE!,,18 1:35.436,1:35.436,95.436,1907.678,,18 1:34.651,1:34.651,94.651,1894.450,,,,,,,18 1:34.142,1:34.142,94.142,1888.396,,18 1:35.270,1:35.270,95.27,1900.179,,18 1:35.266,1:35.266,95.266,1906.108,,18 1:35.687,1:35.687,95.687,1900.262,,18 1:36.093,1:36.093,96.093,1911.609,,18 1:35.367,1:35.367,95.367,1906.761,,18 1:35.466,1:35.466,95.466,1904.758,,18 1:36.058,1:36.058,96.058,1911.003,,18 1:34.307,1:34.307,94.307,1890.601,,18 1:34.559,1:34.559,94.559,1895.806,,17,1786.191,0.000,5.270,8.063,18.718,10.103,15.056,13.608,,4.998,10.699,26.051,,25.203,29.325,26.534,27.536,24.651,18.384,28.754,23.101
19 1:33.135,1:33.135,93.135,1972.465,,19 1:33.545,1:33.545,93.545,1978.288,,19 1:35.361,1:35.361,95.361,2005.127,,19 1:35.064,1:35.064,95.064,2003.397,,19 1:34.194,1:34.194,94.194,1980.990,,19 1:34.631,1:34.631,94.631,1985.596,,,,#VALUE!,#VALUE!,,19 1:35.152,1:35.152,95.152,2002.830,,19 1:34.576,1:34.576,94.576,1989.026,,,,,,,19 1:33.940,1:33.940,93.94,1982.336,,19 1:35.616,1:35.616,95.616,1995.795,,19 1:35.220,1:35.220,95.22,2001.328,,19 1:35.174,1:35.174,95.174,1995.436,,19 1:35.853,1:35.853,95.853,2007.462,,19 1:35.146,1:35.146,95.146,2001.907,,19 1:35.407,1:35.407,95.407,2000.165,,19 1:35.828,1:35.828,95.828,2006.831,,19 1:34.524,1:34.524,94.524,1985.125,,19 1:34.395,1:34.395,94.395,1990.201,,18,1879.330,0.000,5.413,9.066,20.849,11.271,16.476,15.120,,7.466,11.635,28.348,,27.431,32.279,29.003,30.436,26.778,20.932,31.673,25.428
20 1:33.066,1:33.066,93.066,2065.531,,20 1:33.377,1:33.377,93.377,2071.665,,20 1:35.251,1:35.251,95.251,2100.378,,20 1:35.278,1:35.278,95.278,2098.675,,20 1:34.003,1:34.003,94.003,2074.993,,20 1:34.324,1:34.324,94.324,2079.92,,,,#VALUE!,#VALUE!,,20 1:35.020,1:35.020,95.020,2097.850,,20 1:34.390,1:34.390,94.390,2083.416,,,,,,,20 1:33.949,1:33.949,93.949,2076.285,,20 1:34.828,1:34.828,94.828,2090.623,,20 1:35.012,1:35.012,95.012,2096.34,,20 1:35.067,1:35.067,95.067,2090.503,,20 1:36.073,1:36.073,96.073,2103.535,,20 1:35.060,1:35.060,95.06,2096.967,,20 1:35.087,1:35.087,95.087,2095.252,,20 1:36.253,1:36.253,96.253,2103.084,,20 1:34.225,1:34.225,94.225,2079.35,,20 1:34.457,1:34.457,94.457,2084.658,,19,1972.465,0.000,5.823,9.871,23.330,12.660,17.736,16.561,,8.525,13.131,30.365,,29.442,34.997,30.932,32.662,28.863,22.971,34.366,27.700
21 1:32.933,1:32.933,92.933,2158.464,,21 1:33.132,1:33.132,93.132,2164.797,,21 1:35.082,1:35.082,95.082,2195.460,,21 1:34.820,1:34.820,94.820,2193.495,,21 1:33.941,1:33.941,93.941,2168.934,,21 1:33.793,1:33.793,93.793,2173.713,,,,#VALUE!,#VALUE!,,21 1:34.925,1:34.925,94.925,2192.775,,21 1:34.378,1:34.378,94.378,2177.794,,,,,,,21 1:33.722,1:33.722,93.722,2170.007,,21 1:34.368,1:34.368,94.368,2184.991,,21 1:34.923,1:34.923,94.923,2191.263,,21 1:36.369,1:36.369,96.369,2186.872,,21 1:36.779,1:36.779,96.779,2200.314,,21 1:34.710,1:34.710,94.71,2191.677,,21 1:35.399,1:35.399,95.399,2190.651,,21 1:36.801,1:36.801,96.801,2199.885,,21 1:34.016,1:34.016,94.016,2173.366,,21 1:34.144,1:34.144,94.144,2178.802,,20,2065.531,0.000,6.134,10.754,25.092,13.819,19.127,17.885,,9.462,14.389,32.319,,31.436,38.004,33.144,34.847,30.809,24.972,37.553,29.721
22 1:32.980,1:32.980,92.980,2251.444,,22 1:33.064,1:33.064,93.064,2257.861,,22 1:35.601,1:35.601,95.601,2291.061,,22 1:36.016,1:36.016,96.016,2289.511,,22 1:33.698,1:33.698,93.698,2262.632,,22 1:34.760,1:34.760,94.76,2268.473,,,,#VALUE!,#VALUE!,,22 1:35.218,1:35.218,95.218,2287.993,,22 1:34.173,1:34.173,94.173,2271.967,,,,,,,22 1:33.702,1:33.702,93.702,2263.709,,22 1:34.559,1:34.559,94.559,2279.55,,22 1:35.804,1:35.804,95.804,2287.067,,22 1:35.358,1:35.358,95.358,2282.23,,22 1:36.433,1:36.433,96.433,2296.747,,22 1:35.698,1:35.698,95.698,2287.375,,22 1:35.158,1:35.158,95.158,2285.809,,22 1:36.425,1:36.425,96.425,2296.31,,22 1:34.419,1:34.419,94.419,2267.785,,22 1:34.264,1:34.264,94.264,2273.066,,21,2158.464,0.000,6.333,11.543,26.527,14.902,20.338,19.330,,10.470,15.249,34.311,,33.213,41.850,35.031,36.996,32.799,28.408,41.421,32.187
23 1:32.792,1:32.792,92.792,2344.236,,23 1:32.970,1:32.970,92.970,2350.831,,23 1:35.016,1:35.016,95.016,2386.077,,23 1:35.363,1:35.363,95.363,2384.874,,23 1:33.824,1:33.824,93.824,2356.456,,23 1:33.715,1:33.715,93.715,2362.188,,,,#VALUE!,#VALUE!,,23 1:36.216,1:36.216,96.216,2384.209,,23 1:33.958,1:33.958,93.958,2365.925,,,,,,,23 1:33.602,1:33.602,93.602,2357.311,,23 1:34.128,1:34.128,94.128,2373.678,,23 1:36.198,1:36.198,96.198,2383.265,,23 1:34.816,1:34.816,94.816,2377.046,,23 1:35.855,1:35.855,95.855,2392.602,,23 1:36.285,1:36.285,96.285,2383.66,,23 1:35.296,1:35.296,95.296,2381.105,,23 1:36.251,1:36.251,96.251,2392.561,,23 1:34.041,1:34.041,94.041,2361.826,,23 1:34.099,1:34.099,94.099,2367.165,,22,2251.444,0.000,6.417,12.265,28.106,16.341,21.622,20.523,,11.188,17.029,36.549,,35.931,45.303,38.067,39.617,35.623,30.786,44.866,34.365
