23 Alexander ALBON,31 Esteban OCON,,44 Lewis HAMILTON,55 Carlos SAINZ,16 Charles LECLERC,,Lap,Albon,Ocon,Hamilton,Sainz,Leclerc,,Delta_23-31,,Delta_44-55,Delta_44-16
39 1:18.441,39 1:17.173,,39 1:17.517,39 1:20.059,39 P 1:34.031,,39,78.441,77.173,77.517,80.059,94.031,,9.223,,24.466,20.097
40 1:18.091,40 1:17.071,,40 P 1:33.525,40 1:17.039,40 1:20.182,,40,78.091,77.071,93.525,77.039,80.182,,8.203,,7.980,6.754
41 1:18.003,41 1:17.074,,41 1:20.396,41 1:16.430,41 1:17.006,,41,78.003,77.074,80.396,76.430,77.006,,7.274,,4.014,3.364
42 1:17.724,42 1:17.059,,42 1:16.905,42 1:16.722,42 1:16.180,,42,77.724,77.059,76.905,76.722,76.180,,6.609,,3.831,2.639
43 1:17.673,43 1:17.130,,43 1:16.281,43 1:17.079,43 1:16.300,,43,77.673,77.130,76.281,77.079,76.300,,6.066,,4.629,2.658
44 1:17.554,44 1:17.067,,44 1:16.003,44 1:16.525,44 1:16.143,,44,77.554,77.067,76.003,76.525,76.143,,5.579,,5.151,2.798
45 1:17.655,45 1:16.869,,45 1:16.005,45 1:16.099,45 1:16.401,,45,77.655,76.869,76.005,76.099,76.401,,4.793,,5.245,3.194
46 1:17.657,46 1:16.855,,46 1:15.879,46 1:16.100,46 1:16.131,,46,77.657,76.855,75.879,76.100,76.131,,3.991,,5.466,3.446
47 1:17.452,47 1:16.972,,47 1:15.396,47 1:15.911,47 1:15.907,,47,77.452,76.972,75.396,75.911,75.907,,3.511,,5.981,3.957
48 1:17.760,48 1:17.109,,48 1:16.311,48 1:16.195,48 1:15.959,,48,77.760,77.109,76.311,76.195,75.959,,2.860,,5.865,3.605
49 1:17.687,49 1:17.392,,49 1:16.114,49 1:16.062,49 1:15.968,,49,77.687,77.392,76.114,76.062,75.968,,2.565,,5.813,3.459
50 1:17.606,50 1:17.427,,50 1:16.246,50 1:16.304,50 1:16.275,,50,77.606,77.427,76.246,76.304,76.275,,2.386,,5.871,3.488
51 1:17.611,51 1:17.339,,51 1:16.102,51 1:16.188,51 1:16.191,,51,77.611,77.339,76.102,76.188,76.191,,2.114,,5.957,3.577
52 1:17.421,52 1:17.124,,52 1:15.691,52 1:16.091,52 1:16.125,,52,77.421,77.124,75.691,76.091,76.125,,1.817,,6.357,4.011
53 1:17.522,53 1:17.160,,53 1:16.019,53 1:16.058,53 1:15.960,,53,77.522,77.160,76.019,76.058,75.960,,1.455,,6.396,3.952
54 1:17.445,54 1:17.068,,54 1:15.541,54 1:16.321,54 1:16.126,,54,77.445,77.068,75.541,76.321,76.126,,1.078,,7.176,4.537
55 1:17.418,55 1:17.056,,55 1:16.102,55 1:15.954,55 1:16.045,,55,77.418,77.056,76.102,75.954,76.045,,0.716,,7.028,4.480
56 1:17.314,56 1:17.229,,56 1:15.793,56 1:16.357,56 1:16.213,,56,77.314,77.229,75.793,76.357,76.213,,0.631,,7.592,4.900
57 1:17.148,57 1:17.057,,57 1:15.810,57 1:16.802,57 1:15.968,,57,77.148,77.057,75.810,76.802,75.968,,0.540,,8.584,5.058
58 1:17.384,58 1:17.266,,58 1:15.802,58 1:16.140,58 1:16.304,,58,77.384,77.266,75.802,76.140,76.304,,0.422,,8.922,5.560
59 1:17.084,59 1:17.127,,59 1:15.972,59 1:15.966,59 1:15.961,,59,77.084,77.127,75.972,75.966,75.961,,0.465,,8.916,5.549
60 1:17.152,60 1:17.272,,60 1:16.133,60 1:15.947,60 1:16.241,,60,77.152,77.272,76.133,75.947,76.241,,0.585,,8.730,5.657
61 1:17.208,61 1:17.235,,61 1:16.292,61 1:16.007,61 1:16.075,,61,77.208,77.235,76.292,76.007,76.075,,0.612,,8.445,5.440
62 1:17.014,62 1:17.037,,62 1:16.027,62 1:16.186,62 1:16.200,,62,77.014,77.037,76.027,76.186,76.200,,0.635,,8.604,5.613
63 1:16.952,63 1:16.782,,63 1:16.368,63 1:16.045,63 1:16.135,,63,76.952,76.782,76.368,76.045,76.135,,0.465,,8.281,5.380
64 1:17.129,64 1:17.271,,64 1:16.316,64 1:16.028,64 1:15.946,,64,77.129,77.271,76.316,76.028,75.946,,0.607,,7.993,5.010
65 1:17.180,65 1:17.091,,65 1:16.121,65 1:16.328,65 1:16.266,,65,77.180,77.091,76.121,76.328,76.266,,0.518,,8.200,5.155
66 1:17.341,66 1:17.310,,66 1:16.537,66 1:16.672,66 1:16.241,,66,77.341,77.310,76.537,76.672,76.241,,0.487,,8.335,4.859
67 1:17.213,67 1:17.280,,67 1:16.651,67 1:16.307,67 1:16.717,,67,77.213,77.280,76.651,76.307,76.717,,0.554,,7.991,4.925
68 1:16.917,68 1:16.819,,68 1:16.854,68 1:16.541,68 1:16.275,,68,76.917,76.819,76.854,76.541,76.275,,0.456,,7.678,4.346
69 1:17.072,69 1:17.073,,69 1:16.391,69 1:16.349,69 1:16.497,,69,77.072,77.073,76.391,76.349,76.497,,0.457,,7.636,4.452
70 1:17.258,70 1:17.680,,70 1:17.169,70 1:16.905,70 1:17.197,,70,77.258,77.680,77.169,76.905,77.197,,0.879,,7.372,4.480
