1 Max VERSTAPPEN,,MV_Laptime_s,MV_Cumulative,,11 Sergio PEREZ,,SP_Laptime_s,SP_Cumulative,,2 Logan SARGEANT,,SAR_Laptime_s,SAR_Cumulative,,23 Alex ALBON,,AA_Laptime_s,AA_Cumulative,,4 Lando NORRIS,,LN_Laptime_s,LN_Cumulative,,81 Oscar PIASTRI,,OP_Laptime_s,OP_Cumulative,,10 Pierre GASLY,,PG_Laptime_s,PG_Cumulative,,31 Esteban OCON,,EO_Laptime_s,EO_Cumulative,,14 Fernando ALONSO,,FA_Laptime_s,FA_Cumulative,,18 Lance STROLL,,LS_Laptime_s,LS_Cumulative,,16 Charles LECLERC,,CL_Laptime_s,CL_Cumulative,,55 Carlos SAINZ,,CS_Laptime_s,CS_Cumulative,,20 Kevin MAGNUSSEN,,KM_Laptime_s,KM_Cumulative,,27 Nico HULKENBERG,,NH_Laptime_s,NH_Cumulative,,3 Daniel RICCIARDO,,RIC_Laptime_s,RIC_Cumulative,,22 Yuki TSUNODA,,YT_Laptime_s,YT_Cumulative,,24 Guanyu ZHOU,,GZ_Laptime_s,GZ_Cumulative,,77 Valterri BOTTAS,,VB_Laptime_s,VB_Cumulative,,44 Lewis HAMILTON,,LH_Laptime_s,LH_Cumulative,,63 George RUSSELL,,GR_Laptime_s,GR_Cumulative,,,,RBR1,RBR2,SF1,SF2,M-AMG1,M_AMG2,AMR1,AMR2,MCL1,MCL2,ALP1,ALP2,ATO1,ATO2,WIL1,WIL2,HAS1,HAS2,SAUB1,SAUB2
11 1:33.501,1:33.501,93.501,1025.635,,11 1:33.532,1:33.532,93.532,1031.848,,11 P 1:39.392,1:39.392,99.392,1054.298,,11 1:47.913,1:47.913,107.913,1065.734,,11 1:33.432,1:33.432,93.432,1033.166,,11 1:33.262,1:33.262,93.262,1028.424,,11 1:34.743,1:34.743,94.743,1045.515,,11 1:34.486,1:34.486,94.486,1047.777,,11 1:35.199,1:35.199,95.199,1046.886,,11 P 1:40.203,1:40.203,100.203,1049.886,,11 1:33.171,1:33.171,93.171,1029.039,,11 1:33.355,1:33.355,93.355,1029.719,,11 1:35.152,1:35.152,95.152,1054.314,,11 1:34.756,1:34.756,94.756,1043.074,,11 1:34.931,1:34.931,94.931,1055.197,,11 1:34.816,1:34.816,94.816,1044.283,,11 1:34.662,1:34.662,94.662,1050.203,,11 P 1:39.656,1:39.656,99.656,1056.947,,11 1:34.372,1:34.372,94.372,1042.212,,11 1:34.805,1:34.805,94.805,1043.514,,10,956.119,-23.985,-17.803,-20.251,-19.755,-8.279,-7.410,-4.432,-6.436,-16.385,-20.957,-2.828,-5.347,-6.652,4.147,1.702,-1.213,3.043,-7.801,1.172,-0.578
12 1:33.097,1:33.097,93.097,1118.732,,12 1:33.755,1:33.755,93.755,1125.603,,12 1:48.848,1:48.848,108.848,1163.146,,12 1:34.419,1:34.419,94.419,1160.153,,12 1:33.427,1:33.427,93.427,1126.593,,12 1:33.083,1:33.083,93.083,1121.507,,12 P 1:39.216,1:39.216,99.216,1144.731,,12 1:33.984,1:33.984,93.984,1141.761,,12 1:35.193,1:35.193,95.193,1142.079,,12 1:50.133,1:50.133,110.133,1160.019,,12 1:33.123,1:33.123,93.123,1122.162,,12 1:33.153,1:33.153,93.153,1122.872,,12 1:34.613,1:34.613,94.613,1148.927,,12 P 1:40.420,1:40.420,100.42,1143.494,,12 1:34.558,1:34.558,94.558,1149.755,,12 1:34.631,1:34.631,94.631,1138.914,,12 1:34.455,1:34.455,94.455,1144.658,,12 1:49.559,1:49.559,109.559,1166.506,,12 1:33.990,1:33.990,93.99,1136.202,,12 1:34.392,1:34.392,94.392,1137.906,,11,1051.730,-26.095,-19.882,-22.691,-22.011,-9.518,-8.216,-4.844,-1.844,-18.564,-23.306,-3.953,-6.215,-7.447,3.467,14.004,2.568,2.584,-8.656,5.217,-1.527
13 1:33.129,1:33.129,93.129,1211.861,,13 1:33.971,1:33.971,93.971,1219.574,,13 1:33.706,1:33.706,93.706,1256.852,,13 1:34.490,1:34.490,94.490,1254.643,,13 1:33.502,1:33.502,93.502,1220.095,,13 1:33.162,1:33.162,93.162,1214.669,,13 1:48.014,1:48.014,108.014,1252.745,,13 1:34.094,1:34.094,94.094,1235.855,,13 1:34.657,1:34.657,94.657,1236.736,,13 1:33.936,1:33.936,93.936,1253.955,,13 1:33.327,1:33.327,93.327,1215.489,,13 1:33.605,1:33.605,93.605,1216.477,,13 1:34.605,1:34.605,94.605,1243.532,,13 1:48.595,1:48.595,108.595,1252.089,,13 1:34.405,1:34.405,94.405,1244.16,,13 1:34.689,1:34.689,94.689,1233.603,,13 1:34.666,1:34.666,94.666,1239.324,,13 1:33.803,1:33.803,93.803,1260.309,,13 1:33.871,1:33.871,93.871,1230.073,,13 1:34.041,1:34.041,94.041,1231.947,,12,1147.342,-28.610,-21.739,-25.180,-24.470,-11.140,-9.436,-5.263,12.677,-20.749,-25.835,-5.581,-2.611,-8.428,2.413,12.811,15.804,1.585,-3.848,19.164,-2.684
14 1:32.918,1:32.918,92.918,1304.779,,14 1:33.832,1:33.832,93.832,1313.406,,14 1:33.692,1:33.692,93.692,1350.544,,14 1:33.929,1:33.929,93.929,1348.572,,14 1:33.764,1:33.764,93.764,1313.859,,14 1:33.183,1:33.183,93.183,1307.852,,14 1:33.375,1:33.375,93.375,1346.120,,14 1:34.067,1:34.067,94.067,1329.922,,14 1:34.618,1:34.618,94.618,1331.354,,14 1:33.362,1:33.362,93.362,1347.317,,14 1:32.965,1:32.965,92.965,1308.454,,14 1:32.992,1:32.992,92.992,1309.469,,14 1:34.218,1:34.218,94.218,1337.75,,14 1:33.304,1:33.304,93.304,1345.393,,14 1:34.311,1:34.311,94.311,1338.471,,14 1:33.975,1:33.975,93.975,1327.578,,14 1:34.195,1:34.195,94.195,1333.519,,14 1:33.594,1:33.594,93.594,1353.903,,14 1:33.693,1:33.693,93.693,1323.766,,14 1:33.593,1:33.593,93.593,1325.54,,13,1242.954,-31.093,-23.380,-27.465,-26.477,-12.881,-11.007,-6.218,11.001,-22.859,-28.285,-7.099,9.791,-9.351,1.206,11.689,13.898,0.578,9.135,17.355,-3.630
15 1:32.807,1:32.807,92.807,1397.586,,15 1:33.337,1:33.337,93.337,1406.743,,15 1:33.452,1:33.452,93.452,1443.996,,15 1:33.447,1:33.447,93.447,1442.019,,15 1:33.472,1:33.472,93.472,1407.331,,15 1:32.767,1:32.767,92.767,1400.619,,15 1:32.994,1:32.994,92.994,1439.114,,15 1:33.585,1:33.585,93.585,1423.507,,15 1:34.350,1:34.350,94.350,1425.704,,15 1:33.479,1:33.479,93.479,1440.796,,15 1:32.689,1:32.689,92.689,1401.143,,15 1:33.119,1:33.119,93.119,1402.588,,15 1:33.895,1:33.895,93.895,1431.645,,15 1:32.922,1:32.922,92.922,1438.315,,15 1:34.018,1:34.018,94.018,1432.489,,15 1:33.337,1:33.337,93.337,1420.915,,15 1:34.166,1:34.166,94.166,1427.685,,15 1:33.615,1:33.615,93.615,1447.518,,15 1:33.344,1:33.344,93.344,1417.11,,15 1:33.389,1:33.389,93.389,1418.929,,14,1338.566,-33.787,-25.160,-30.112,-29.097,-14.800,-13.026,-7.212,8.751,-24.707,-30.714,-8.644,7.554,-10.988,-0.095,10.006,11.978,-0.816,6.827,15.337,-5.047
16 1:32.749,1:32.749,92.749,1490.335,,16 1:33.174,1:33.174,93.174,1499.917,,16 1:34.022,1:34.022,94.022,1538.018,,16 1:34.178,1:34.178,94.178,1536.197,,16 1:33.191,1:33.191,93.191,1500.522,,16 1:32.785,1:32.785,92.785,1493.404,,16 1:33.554,1:33.554,93.554,1532.668,,16 1:33.545,1:33.545,93.545,1517.052,,16 1:34.208,1:34.208,94.208,1519.912,,16 1:33.858,1:33.858,93.858,1534.654,,16 1:33.026,1:33.026,93.026,1494.169,,16 1:33.245,1:33.245,93.245,1495.833,,16 1:34.125,1:34.125,94.125,1525.77,,16 1:33.731,1:33.731,93.731,1532.046,,16 1:34.268,1:34.268,94.268,1526.757,,16 1:33.683,1:33.683,93.683,1514.598,,16 1:34.005,1:34.005,94.005,1521.69,,16 1:33.896,1:33.896,93.896,1541.414,,16 1:33.521,1:33.521,93.521,1510.631,,16 1:33.423,1:33.423,93.423,1512.352,,15,1434.178,-36.592,-27.435,-33.035,-31.590,-17.068,-15.249,-8.474,6.618,-26.847,-33.559,-10.671,4.936,-13.263,-1.689,7.841,9.818,-2.533,4.137,13.340,-6.493
17 1:32.920,1:32.920,92.920,1583.255,,17 P 1:38.985,1:38.985,98.985,1598.902,,17 1:33.717,1:33.717,93.717,1631.735,,17 1:33.683,1:33.683,93.683,1629.880,,17 1:33.463,1:33.463,93.463,1593.985,,17 1:33.084,1:33.084,93.084,1586.488,,17 1:33.530,1:33.530,93.530,1626.198,,17 1:33.997,1:33.997,93.997,1611.049,,17 1:34.260,1:34.260,94.260,1614.172,,17 1:33.473,1:33.473,93.473,1628.127,,17 1:33.068,1:33.068,93.068,1587.237,,17 1:33.230,1:33.230,93.23,1589.063,,17 1:34.140,1:34.140,94.14,1619.91,,17 1:33.621,1:33.621,93.621,1625.667,,17 1:34.033,1:34.033,94.033,1620.79,,17 1:33.936,1:33.936,93.936,1608.534,,17 1:34.095,1:34.095,94.095,1615.785,,17 1:33.650,1:33.650,93.65,1635.064,,17 1:33.602,1:33.602,93.602,1604.233,,17 1:33.607,1:33.607,93.607,1605.959,,16,1529.790,-39.455,-29.873,-35.621,-33.957,-19.159,-17.438,-9.878,4.864,-29.268,-36.386,-12.738,2.878,-15.192,-3.033,6.407,8.228,-4.020,2.256,11.624,-8.100
18 1:33.022,1:33.022,93.022,1676.277,,18 1:46.549,1:46.549,106.549,1705.451,,18 1:33.680,1:33.680,93.680,1725.415,,18 1:33.692,1:33.692,93.692,1723.572,,18 1:33.150,1:33.150,93.150,1687.135,,18 1:32.975,1:32.975,92.975,1679.463,,18 1:33.807,1:33.807,93.807,1720.005,,18 1:33.890,1:33.890,93.890,1704.939,,18 1:34.157,1:34.157,94.157,1708.329,,18 1:33.861,1:33.861,93.861,1721.988,,18 1:32.829,1:32.829,92.829,1680.066,,18 1:33.065,1:33.065,93.065,1682.128,,18 1:34.036,1:34.036,94.036,1713.946,,18 1:33.608,1:33.608,93.608,1719.275,,18 1:34.234,1:34.234,94.234,1715.024,,18 1:33.745,1:33.745,93.745,1702.279,,18 1:34.394,1:34.394,94.394,1710.179,,18 1:34.056,1:34.056,94.056,1729.12,,18 1:33.306,1:33.306,93.306,1697.539,,18 1:33.705,1:33.705,93.705,1699.664,,17,1625.402,-42.147,-26.500,-38.165,-36.339,-21.169,-19.443,-11.230,2.725,-31.417,-38.914,-14.353,0.796,-16.868,-4.612,4.478,6.333,-5.492,0.265,9.662,-9.617
19 1:32.668,1:32.668,92.668,1768.945,,19 1:33.159,1:33.159,93.159,1798.610,,19 1:33.542,1:33.542,93.542,1818.957,,19 1:33.671,1:33.671,93.671,1817.243,,19 1:32.476,1:32.476,92.476,1779.611,,19 1:33.109,1:33.109,93.109,1772.572,,19 1:33.174,1:33.174,93.174,1813.179,,19 1:34.736,1:34.736,94.736,1799.675,,19 1:34.049,1:34.049,94.049,1802.378,,19 1:33.635,1:33.635,93.635,1815.623,,19 P 1:38.239,1:38.239,98.239,1778.305,,19 1:32.838,1:32.838,92.838,1774.966,,19 1:34.127,1:34.127,94.127,1808.073,,19 1:33.273,1:33.273,93.273,1812.548,,19 1:33.901,1:33.901,93.901,1808.925,,19 1:33.382,1:33.382,93.382,1795.661,,19 1:33.941,1:33.941,93.941,1804.12,,19 1:33.757,1:33.757,93.757,1822.877,,19 1:33.333,1:33.333,93.333,1790.872,,19 1:33.562,1:33.562,93.562,1793.226,,18,1721.013,-44.736,-15.562,-40.947,-38.885,-23.474,-21.349,-12.684,0.975,-33.878,-41.550,-16.074,-1.008,-18.734,-5.989,2.559,4.402,-7.067,-1.738,8.107,-10.834
20 1:32.530,1:32.530,92.530,1861.475,,20 1:33.069,1:33.069,93.069,1891.679,,20 1:33.715,1:33.715,93.715,1912.672,,20 1:33.584,1:33.584,93.584,1910.827,,20 1:32.421,1:32.421,92.421,1872.032,,20 1:32.630,1:32.630,92.63,1865.202,,20 1:33.639,1:33.639,93.639,1906.818,,20 1:34.069,1:34.069,94.069,1893.744,,20 1:34.230,1:34.230,94.230,1896.608,,20 1:33.816,1:33.816,93.816,1909.439,,20 1:46.412,1:46.412,106.412,1884.717,,20 1:32.628,1:32.628,92.628,1867.594,,20 1:34.121,1:34.121,94.121,1902.194,,20 1:33.538,1:33.538,93.538,1906.086,,20 1:33.980,1:33.980,93.98,1902.905,,20 1:33.447,1:33.447,93.447,1889.108,,20 1:34.286,1:34.286,94.286,1898.406,,20 1:34.152,1:34.152,94.152,1917.029,,20 1:33.048,1:33.048,93.048,1883.92,,20 1:33.811,1:33.811,93.811,1887.037,,19,1816.625,-47.680,-18.015,-38.320,-41.659,-25.753,-23.399,-14.247,-1.002,-37.014,-44.053,-16.950,-3.446,-20.964,-7.700,0.618,2.332,-8.552,-4.077,6.252,-12.505
