1 Max VERSTAPPEN,,MV_Laptime_s,MV_Cumulative,,11 Sergio PEREZ,,SP_Laptime_s,SP_Cumulative,,2 Logan SARGEANT,,LS_Laptime_s,LS_Cumulative,,23 Alex ALBON,,AA_Laptime_s,AA_Cumulative,,4 Lando NORRIS,,LN_Laptime_s,LN_Cumulative,,81 Oscar PIASTRI,,OP_Laptime_s,OP_Cumulative,,10 Pierre GASLY,,PG_Laptime_s,PG_Cumulative,,31 Esteban OCON,,EO_Laptime_s,EO_Cumulative,,14 Fernando ALONSO,,FA_Laptime_s,FA_Cumulative,,18 Lance STROLL,,LS_Laptime_s,LS_Cumulative,,16 Charles LECLERC,,CL_Laptime_s,CL_Cumulative,,55 Carlos SAINZ,,CS_Laptime_s,CL_Cumulative,,20 Kevin MAGNUSSEN,,KM_Laptime_s,KM_Cumulative,,27 Nico HULKENBERG,,NH_Laptime_s,NH_Cumulative,,3 Daniel RICCIARDO,,RIC_Laptime_s,RIC_Cumulative,,22 Yuki TSUNODA,,YT_Laptime_s,YT_Cumulative,,24 Guanyu ZHOU,,GZ_Laptime_s,GZ_Cumulative,,77 Valterri BOTTAS,,VB_Laptime_s,VB_Cumulative,,44 Lewis HAMILTON,,LH_Laptime_s,LH_Cumulative,,63 George RUSSELL,,GR_Laptime_s,GR_Cumulative,,,,RBR1,RBR2,SF1,SF2,M-AMG1,M_AMG2,AMR1,AMR2,MCL1,MCL2,ALP1,ALP2,ATO1,ATO2,WIL1,WIL2,HAS1,HAS2,SAUB1,SAUB2
11 1:37.085,1:37.085,97.085,1066.581,,11 1:37.836,1:37.836,97.836,1076.201,,11 2:12.438,2:12.438,132.438,1191.546,,11 1:38.835,1:38.835,98.835,1090.797,,11 1:38.172,1:38.172,98.172,1081.271,,11 1:38.397,1:38.397,98.397,1083.4,,11 1:38.656,1:38.656,98.656,1096.711,,11 1:59.014,1:59.014,119.014,1119.203,,11 1:38.554,1:38.554,98.554,1086.752,,11 1:36.494,1:36.494,96.494,1116.541,,11 P 1:41.737,1:41.737,101.737,1081.418,,11 1:37.656,1:37.656,97.656,1077.71,,11 P 1:41.088,1:41.088,101.088,1095.187,,11 1:37.638,1:37.638,97.638,1124.084,,11 1:39.033,1:39.033,99.033,1095.815,,11 1:38.799,1:38.799,98.799,1088.739,,11 1:36.365,1:36.365,96.365,1114.722,,11 1:39.187,1:39.187,99.187,1098.914,,11 1:38.236,1:38.236,98.236,1085.496,,11 P 1:40.515,1:40.515,100.515,1077.878,,10,972.840,-3.344,5.525,6.841,7.214,14.420,4.523,15.358,47.207,10.259,12.163,27.349,25.215,17.100,23.942,19.122,86.268,21.259,53.606,26.887,45.517
12 1:37.045,1:37.045,97.045,1163.626,,12 P 1:40.277,1:40.277,100.277,1176.478,,12 1:38.493,1:38.493,98.493,1290.039,,12 1:38.934,1:38.934,98.934,1189.731,,12 1:38.082,1:38.082,98.082,1179.353,,12 P 1:40.739,1:40.739,100.739,1184.139,,12 P 1:41.456,1:41.456,101.456,1198.167,,12 1:37.599,1:37.599,97.599,1216.802,,12 1:38.543,1:38.543,98.543,1185.295,,12 1:37.175,1:37.175,97.175,1213.716,,12 1:57.471,1:57.471,117.471,1198.889,,12 1:37.650,1:37.650,97.65,1175.36,,12 1:59.682,1:59.682,119.682,1214.869,,12 1:37.706,1:37.706,97.706,1221.79,,12 1:38.893,1:38.893,98.893,1194.708,,12 1:38.769,1:38.769,98.769,1187.508,,12 1:36.995,1:36.995,96.995,1211.717,,12 P 1:43.145,1:43.145,103.145,1202.059,,12 P 1:40.889,1:40.889,100.889,1186.385,,12 1:58.460,1:58.460,118.46,1196.338,,11,1070.124,-3.543,6.077,11.294,7.586,15.372,7.754,16.628,46.417,11.147,13.276,49.079,26.587,18.615,25.691,20.673,121.422,25.063,53.960,28.790,44.598
13 1:37.030,1:37.030,97.030,1260.656,,13 1:57.624,1:57.624,117.624,1294.102,,13 1:40.989,1:40.989,100.989,1391.028,,13 1:38.823,1:38.823,98.823,1288.554,,13 P 1:40.635,1:40.635,100.635,1279.988,,13 1:58.689,1:58.689,118.689,1302.828,,13 2:04.565,2:04.565,124.565,1322.732,,13 1:37.363,1:37.363,97.363,1314.165,,13 1:38.587,1:38.587,98.587,1283.882,,13 1:37.289,1:37.289,97.289,1311.005,,13 1:36.432,1:36.432,96.432,1295.321,,13 1:37.243,1:37.243,97.243,1272.603,,13 1:36.890,1:36.890,96.89,1311.759,,13 1:37.801,1:37.801,97.801,1319.591,,13 P 1:42.173,1:42.173,102.173,1296.881,,13 1:38.860,1:38.860,98.86,1286.368,,13 1:37.436,1:37.436,97.436,1309.153,,13 2:01.081,2:01.081,121.081,1323.14,,13 1:58.645,1:58.645,118.645,1305.03,,13 1:37.167,1:37.167,97.167,1293.505,,12,1167.408,-3.782,9.070,31.481,7.952,18.977,28.930,17.887,46.308,11.945,16.731,49.394,30.759,20.100,27.300,22.323,122.631,47.461,54.382,34.651,44.309
14 1:37.028,1:37.028,97.028,1357.684,,14 1:35.606,1:35.606,95.606,1389.708,,14 1:41.470,1:41.470,101.470,1492.498,,14 1:38.977,1:38.977,98.977,1387.531,,14 1:57.770,1:57.770,117.770,1397.758,,14 1:36.796,1:36.796,96.796,1399.624,,14 1:37.689,1:37.689,97.689,1420.421,,14 1:37.537,1:37.537,97.537,1411.702,,14 1:38.612,1:38.612,98.612,1382.494,,14 1:37.624,1:37.624,97.624,1408.629,,14 1:36.756,1:36.756,96.756,1392.077,,14 P 1:39.753,1:39.753,99.753,1372.356,,14 1:37.590,1:37.590,97.59,1409.349,,14 1:37.879,1:37.879,97.879,1417.47,,14 1:59.408,1:59.408,119.408,1416.289,,14 P 1:41.138,1:41.138,101.138,1387.506,,14 1:37.482,1:37.482,97.482,1406.635,,14 1:36.454,1:36.454,96.454,1419.594,,14 1:37.178,1:37.178,97.178,1402.208,,14 1:37.571,1:37.571,97.571,1391.076,,13,1264.692,-4.036,29.410,30.629,7.911,40.338,28.813,19.190,46.313,15.296,38.136,49.473,58.040,21.676,32.189,23.862,126.336,47.067,54.899,58.448,44.461
15 1:37.011,1:37.011,97.011,1454.695,,15 1:36.815,1:36.815,96.815,1486.523,,15 1:37.594,1:37.594,97.594,1590.092,,15 P 1:41.171,1:41.171,101.171,1488.702,,15 1:36.912,1:36.912,96.912,1494.670,,15 1:36.823,1:36.823,96.823,1496.447,,15 1:37.492,1:37.492,97.492,1517.913,,15 1:37.843,1:37.843,97.843,1509.545,,15 P 1:41.101,1:41.101,101.101,1483.595,,15 1:37.533,1:37.533,97.533,1506.162,,15 1:36.813,1:36.813,96.813,1488.89,,15 1:57.225,1:57.225,117.225,1489.581,,15 1:38.332,1:38.332,98.332,1507.681,,15 1:38.110,1:38.110,98.11,1515.58,,15 1:37.070,1:37.070,97.07,1513.359,,15 1:59.588,1:59.588,119.588,1507.094,,15 1:37.500,1:37.500,97.5,1504.135,,15 1:37.287,1:37.287,97.287,1516.881,,15 1:37.264,1:37.264,97.264,1499.472,,15 1:36.922,1:36.922,96.922,1487.998,,14,1361.976,-4.292,27.732,30.101,10.380,40.232,29.100,20.518,46.653,35.782,37.648,49.726,58.445,25.530,54.313,25.555,130.522,47.373,55.494,57.618,44.659
16 1:37.168,1:37.168,97.168,1551.863,,16 1:35.783,1:35.783,95.783,1582.306,,16 1:41.370,1:41.370,101.370,1691.462,,16 1:59.341,1:59.341,119.341,1608.043,,16 1:36.565,1:36.565,96.565,1591.235,,16 1:36.427,1:36.427,96.427,1592.874,,16 1:37.521,1:37.521,97.521,1615.434,,16 1:37.902,1:37.902,97.902,1607.447,,16 1:58.814,1:58.814,118.814,1602.409,,16 1:38.027,1:38.027,98.027,1604.189,,16 1:36.673,1:36.673,96.673,1585.563,,16 1:36.376,1:36.376,96.376,1585.957,,16 1:37.749,1:37.749,97.749,1605.43,,16 1:37.796,1:37.796,97.796,1613.376,,16 1:37.176,1:37.176,97.176,1610.535,,16 1:37.516,1:37.516,97.516,1604.61,,16 1:37.659,1:37.659,97.659,1601.794,,16 1:37.718,1:37.718,97.718,1614.599,,16 1:37.091,1:37.091,97.091,1596.563,,16 1:36.683,1:36.683,96.683,1584.681,,15,1459.260,-4.565,27.263,29.630,30.321,40.212,28.738,24.335,46.902,35.410,37.187,50.285,58.653,47.834,54.099,29.442,130.832,48.421,56.320,57.621,44.875
17 P 1:39.896,1:39.896,99.896,1651.759,,17 1:36.454,1:36.454,96.454,1678.760,,17 1:39.758,1:39.758,99.758,1791.220,,17 1:37.392,1:37.392,97.392,1705.435,,17 1:36.776,1:36.776,96.776,1688.011,,17 1:36.872,1:36.872,96.872,1689.746,,17 1:37.949,1:37.949,97.949,1713.383,,17 1:38.911,1:38.911,98.911,1706.358,,17 1:36.970,1:36.970,96.970,1699.379,,17 1:38.777,1:38.777,98.777,1702.966,,17 1:37.302,1:37.302,97.302,1682.865,,17 1:35.507,1:35.507,95.507,1681.464,,17 1:38.282,1:38.282,98.282,1703.712,,17 1:37.891,1:37.891,97.891,1711.267,,17 1:37.290,1:37.290,97.29,1707.825,,17 1:37.482,1:37.482,97.482,1702.092,,17 1:38.475,1:38.475,98.475,1700.269,,17 1:37.765,1:37.765,97.765,1712.364,,17 1:37.111,1:37.111,97.111,1693.674,,17 1:36.234,1:36.234,96.234,1680.915,,16,1556.544,-4.681,25.762,29.019,29.413,40.019,28.137,45.865,47.645,34.691,36.330,50.903,58.890,48.066,53.991,51.499,134.918,48.886,56.832,58.055,45.250
18 1:57.854,1:57.854,117.854,1769.613,,18 1:36.311,1:36.311,96.311,1775.071,,18 1:38.077,1:38.077,98.077,1889.297,,18 1:37.590,1:37.590,97.590,1803.025,,18 1:36.508,1:36.508,96.508,1784.519,,18 1:37.095,1:37.095,97.095,1786.841,,18 1:37.791,1:37.791,97.791,1811.174,,18 1:38.120,1:38.120,98.120,1804.478,,18 1:37.361,1:37.361,97.361,1796.740,,18 1:37.417,1:37.417,97.417,1800.383,,18 1:37.438,1:37.438,97.438,1780.303,,18 1:36.088,1:36.088,96.088,1777.552,,18 1:37.583,1:37.583,97.583,1801.295,,18 1:38.216,1:38.216,98.216,1809.483,,18 1:37.700,1:37.700,97.7,1805.525,,18 1:37.359,1:37.359,97.359,1799.451,,18 1:37.552,1:37.552,97.552,1797.821,,18 1:37.918,1:37.918,97.918,1810.282,,18 1:36.850,1:36.850,96.85,1790.524,,18 1:37.819,1:37.819,97.819,1778.734,,17,1653.828,-2.069,24.932,29.037,27.636,39.846,27.087,45.551,49.138,34.183,35.918,52.530,59.555,48.264,53.997,51.607,137.392,49.884,57.439,58.536,46.441
19 1:35.283,1:35.283,95.283,1864.896,,19 1:36.038,1:36.038,96.038,1871.109,,19 1:37.742,1:37.742,97.742,1987.039,,19 1:37.763,1:37.763,97.763,1900.788,,19 1:36.416,1:36.416,96.416,1880.935,,19 1:36.577,1:36.577,96.577,1883.418,,19 1:37.702,1:37.702,97.702,1908.876,,19 1:38.332,1:38.332,98.332,1902.810,,19 1:37.072,1:37.072,97.072,1893.812,,19 1:37.554,1:37.554,97.554,1897.937,,19 1:36.821,1:36.821,96.821,1877.124,,19 1:36.236,1:36.236,96.236,1873.788,,19 1:37.792,1:37.792,97.792,1899.087,,19 1:37.862,1:37.862,97.862,1907.345,,19 1:38.350,1:38.350,98.35,1903.875,,19 1:37.396,1:37.396,97.396,1896.847,,19 1:37.652,1:37.652,97.652,1895.473,,19 1:37.662,1:37.662,97.662,1907.944,,19 1:36.694,1:36.694,96.694,1887.218,,19 1:37.233,1:37.233,97.233,1875.967,,18,1751.112,18.501,23.959,29.191,26.440,39.412,27.622,45.628,49.271,33.407,35.729,53.366,60.062,48.339,54.413,51.913,138.185,50.183,58.371,59.170,46.709
20 1:35.160,1:35.160,95.160,1960.056,,20 1:36.278,1:36.278,96.278,1967.387,,20 1:37.820,1:37.820,97.820,2084.859,,20 1:37.701,1:37.701,97.701,1998.489,,20 1:36.501,1:36.501,96.501,1977.436,,20 1:36.644,1:36.644,96.644,1980.062,,20 1:38.036,1:38.036,98.036,2006.912,,20 1:38.185,1:38.185,98.185,2000.995,,20 1:37.357,1:37.357,97.357,1991.169,,20 1:37.859,1:37.859,97.859,1995.796,,20 1:36.794,1:36.794,96.794,1973.918,,20 1:36.034,1:36.034,96.034,1969.822,,20 1:38.062,1:38.062,98.062,1997.149,,20 P 1:40.798,1:40.798,100.798,2008.143,,20 1:37.865,1:37.865,97.865,2001.74,,20 1:37.766,1:37.766,97.766,1994.613,,20 1:37.749,1:37.749,97.749,1993.222,,20 1:38.285,1:38.285,98.285,2006.229,,20 1:36.264,1:36.264,96.264,1983.482,,20 1:36.732,1:36.732,96.732,1972.699,,19,1848.396,16.500,22.713,28.728,25.392,38.822,27.571,45.416,49.541,32.539,35.022,54.414,60.480,48.451,55.479,52.392,138.643,50.691,58.949,59.548,47.077
