1 Max VERSTAPPEN,,MV_Laptime_s,MV_Cumulative,,11 Sergio PEREZ,,SP_Laptime_s,SP_Cumulative,,2 Logan SARGEANT,,LS_Laptime_s,LS_Cumulative,,23 Alex ALBON,,AA_Laptime_s,AA_Cumulative,,4 Lando NORRIS,,LN_Laptime_s,LN_Cumulative,,81 Oscar PIASTRI,,OP_Laptime_s,OP_Cumulative,,10 Pierre GASLY,,PG_Laptime_s,PG_Cumulative,,31 Esteban OCON,,EO_Laptime_s,EO_Cumulative,,14 Fernando ALONSO,,FA_Laptime_s,FA_Cumulative,,18 Lance STROLL,,LS_Laptime_s,LS_Cumulative,,16 Charles LECLERC,,CL_Laptime_s,CL_Cumulative,,55 Carlos SAINZ,,CS_Laptime_s,CL_Cumulative,,20 Kevin MAGNUSSEN,,KM_Laptime_s,KM_Cumulative,,27 Nico HULKENBERG,,NH_Laptime_s,NH_Cumulative,,3 Daniel RICCIARDO,,RIC_Laptime_s,RIC_Cumulative,,22 Yuki TSUNODA,,YT_Laptime_s,YT_Cumulative,,24 Guanyu ZHOU,,GZ_Laptime_s,GZ_Cumulative,,77 Valterri BOTTAS,,VB_Laptime_s,VB_Cumulative,,44 Lewis HAMILTON,,LH_Laptime_s,LH_Cumulative,,63 George RUSSELL,,GR_Laptime_s,GR_Cumulative,,,,RBR1,RBR2,SF1,SF2,M-AMG1,M_AMG2,AMR1,AMR2,MCL1,MCL2,ALP1,ALP2,ATO1,ATO2,WIL1,WIL2,HAS1,HAS2,SAUB1,SAUB2
21 1:35.316,1:35.316,95.316,2055.372,,21 1:36.165,1:36.165,96.165,2063.552,,21 1:38.009,1:38.009,98.009,2182.868,,21 1:37.918,1:37.918,97.918,2096.407,,21 1:36.620,1:36.620,96.620,2074.056,,21 1:36.733,1:36.733,96.733,2076.795,,21 1:38.094,1:38.094,98.094,2105.006,,21 1:39.363,1:39.363,99.363,2100.358,,21 1:37.342,1:37.342,97.342,2088.511,,21 1:38.022,1:38.022,98.022,2093.818,,21 1:36.977,1:36.977,96.977,2070.895,,21 1:36.104,1:36.104,96.104,2065.926,,21 1:38.010,1:38.010,98.01,2095.159,,21 1:58.699,1:58.699,118.699,2126.842,,21 1:37.392,1:37.392,97.392,2099.132,,21 1:37.777,1:37.777,97.777,2092.39,,21 1:37.947,1:37.947,97.947,2091.169,,21 1:37.730,1:37.730,97.73,2103.959,,21 1:36.510,1:36.510,96.51,2079.992,,21 1:36.769,1:36.769,96.769,2069.468,,20,1945.680,14.376,21.707,28.238,24.142,37.802,27.019,45.489,50.116,31.756,34.382,55.315,61.232,48.933,56.060,52.809,139.179,51.469,62.463,60.549,47.542
22 1:35.204,1:35.204,95.204,2150.576,,22 1:36.037,1:36.037,96.037,2159.589,,22 1:37.728,1:37.728,97.728,2280.596,,22 1:38.031,1:38.031,98.031,2194.438,,22 1:36.668,1:36.668,96.668,2170.724,,22 1:36.555,1:36.555,96.555,2173.35,,22 1:37.868,1:37.868,97.868,2202.874,,22 1:38.655,1:38.655,98.655,2199.013,,22 1:37.122,1:37.122,97.122,2185.633,,22 1:38.175,1:38.175,98.175,2191.993,,22 1:36.796,1:36.796,96.796,2167.691,,22 1:36.008,1:36.008,96.008,2161.934,,22 1:38.147,1:38.147,98.147,2193.306,,22 1:36.858,1:36.858,96.858,2223.7,,22 1:37.750,1:37.750,97.75,2196.882,,22 1:37.837,1:37.837,97.837,2190.227,,22 1:37.852,1:37.852,97.852,2189.021,,22 1:37.998,1:37.998,97.998,2201.957,,22 1:36.633,1:36.633,96.633,2176.625,,22 1:36.992,1:36.992,96.992,2166.46,,21,2042.964,12.408,20.588,27.931,22.962,37.028,26.504,45.547,50.854,31.092,33.831,57.394,62.042,49.426,56.168,53.443,139.904,52.195,83.878,60.995,48.205
23 1:35.216,1:35.216,95.216,2245.792,,23 1:36.249,1:36.249,96.249,2255.838,,23 1:37.621,1:37.621,97.621,2378.217,,23 1:37.869,1:37.869,97.869,2292.307,,23 1:36.696,1:36.696,96.696,2267.420,,23 1:36.680,1:36.680,96.68,2270.03,,23 1:38.104,1:38.104,98.104,2300.978,,23 1:38.407,1:38.407,98.407,2297.420,,23 1:37.265,1:37.265,97.265,2282.898,,23 1:37.826,1:37.826,97.826,2289.819,,23 1:36.987,1:36.987,96.987,2264.678,,23 1:36.149,1:36.149,96.149,2258.083,,23 1:38.293,1:38.293,98.293,2291.599,,23 1:36.725,1:36.725,96.725,2320.425,,23 1:37.772,1:37.772,97.772,2294.654,,23 1:37.671,1:37.671,97.671,2287.898,,23 1:37.788,1:37.788,97.788,2286.809,,23 1:38.180,1:38.180,98.18,2300.137,,23 1:36.717,1:36.717,96.717,2273.342,,23 1:36.954,1:36.954,96.954,2263.414,,22,2140.248,10.328,19.341,27.443,21.686,36.377,26.212,45.385,51.745,30.476,33.102,58.765,62.626,49.979,56.634,54.190,140.348,53.058,83.452,61.709,48.773
24 1:35.289,1:35.289,95.289,2341.081,,24 1:36.211,1:36.211,96.211,2352.049,,24 1:39.437,1:39.437,99.437,2477.654,,24 1:38.204,1:38.204,98.204,2390.511,,24 1:36.823,1:36.823,96.823,2364.243,,24 1:36.884,1:36.884,96.884,2366.914,,24 1:38.192,1:38.192,98.192,2399.170,,24 1:38.420,1:38.420,98.420,2395.840,,24 1:37.046,1:37.046,97.046,2379.944,,24 1:38.138,1:38.138,98.138,2387.957,,24 1:36.924,1:36.924,96.924,2361.602,,24 1:36.200,1:36.200,96.2,2354.283,,24 1:38.156,1:38.156,98.156,2389.755,,24 1:36.626,1:36.626,96.626,2417.051,,24 1:37.766,1:37.766,97.766,2392.42,,24 1:37.634,1:37.634,97.634,2385.532,,24 1:37.894,1:37.894,97.894,2384.703,,24 1:38.146,1:38.146,98.146,2398.283,,24 1:36.666,1:36.666,96.666,2370.008,,24 1:36.736,1:36.736,96.736,2360.15,,23,2237.532,8.260,18.306,27.146,20.551,35.810,25.882,45.366,52.287,29.888,32.498,59.888,63.446,50.366,57.122,54.775,140.685,54.067,82.893,62.605,49.277
25 1:35.342,1:35.342,95.342,2436.423,,25 1:36.344,1:36.344,96.344,2448.393,,25 1:39.093,1:39.093,99.093,2576.747,,25 1:38.226,1:38.226,98.226,2488.737,,25 1:36.730,1:36.730,96.730,2460.973,,25 1:37.008,1:37.008,97.008,2463.922,,25 1:38.160,1:38.160,98.160,2497.330,,25 1:38.494,1:38.494,98.494,2494.334,,25 1:37.179,1:37.179,97.179,2477.123,,25 1:37.994,1:37.994,97.994,2485.951,,25 1:36.760,1:36.760,96.76,2458.362,,25 1:36.220,1:36.220,96.22,2450.503,,25 1:38.290,1:38.290,98.29,2488.045,,25 1:36.652,1:36.652,96.652,2513.703,,25 1:37.973,1:37.973,97.973,2490.393,,25 1:37.851,1:37.851,97.851,2483.383,,25 1:37.883,1:37.883,97.883,2482.586,,25 1:38.262,1:38.262,98.262,2496.545,,25 1:36.919,1:36.919,96.919,2466.927,,25 1:36.928,1:36.928,96.928,2457.078,,24,2334.816,6.265,17.233,26.786,19.467,35.192,25.334,45.128,53.141,29.427,32.098,61.024,64.354,50.716,57.604,55.695,142.838,54.939,82.235,63.467,49.887
26 1:35.223,1:35.223,95.223,2531.646,,26 1:36.347,1:36.347,96.347,2544.740,,26 1:37.859,1:37.859,97.859,2674.606,,26 1:38.100,1:38.100,98.100,2586.837,,26 1:36.566,1:36.566,96.566,2557.539,,26 1:36.882,1:36.882,96.882,2560.804,,26 1:38.379,1:38.379,98.379,2595.709,,26 1:38.665,1:38.665,98.665,2592.999,,26 1:37.638,1:37.638,97.638,2574.761,,26 1:38.133,1:38.133,98.133,2584.084,,26 1:36.810,1:36.810,96.81,2555.172,,26 1:36.221,1:36.221,96.221,2546.724,,26 1:38.093,1:38.093,98.093,2586.138,,26 1:36.548,1:36.548,96.548,2610.251,,26 1:38.029,1:38.029,98.029,2588.422,,26 1:38.058,1:38.058,98.058,2581.441,,26 1:37.995,1:37.995,97.995,2580.581,,26 1:38.308,1:38.308,98.308,2594.853,,26 1:36.714,1:36.714,96.714,2563.641,,26 1:36.801,1:36.801,96.801,2553.879,,25,2432.100,4.323,16.293,26.262,18.403,34.827,24.978,45.023,53.851,28.873,31.822,62.234,65.230,51.283,58.293,56.637,144.647,55.945,81.603,64.445,50.486
27 1:35.581,1:35.581,95.581,2627.227,,27 1:36.233,1:36.233,96.233,2640.973,,27 1:38.288,1:38.288,98.288,2772.894,,27 1:38.296,1:38.296,98.296,2685.133,,27 1:36.726,1:36.726,96.726,2654.265,,27 1:36.905,1:36.905,96.905,2657.709,,27 1:38.400,1:38.400,98.400,2694.109,,27 1:38.549,1:38.549,98.549,2691.548,,27 1:36.945,1:36.945,96.945,2671.706,,27 P 1:40.710,1:40.710,100.710,2684.794,,27 1:36.831,1:36.831,96.831,2652.003,,27 1:36.272,1:36.272,96.272,2642.996,,27 1:38.226,1:38.226,98.226,2684.364,,27 1:36.647,1:36.647,96.647,2706.898,,27 1:38.152,1:38.152,98.152,2686.574,,27 1:38.083,1:38.083,98.083,2679.524,,27 1:38.053,1:38.053,98.053,2678.634,,27 1:38.426,1:38.426,98.426,2693.279,,27 1:37.201,1:37.201,97.201,2660.842,,27 1:36.815,1:36.815,96.815,2650.694,,26,2529.384,2.262,15.356,25.788,17.340,34.257,24.495,45.377,54.700,28.155,31.420,63.615,66.325,52.057,59.038,57.453,145.222,56.754,80.867,65.469,51.197
28 1:35.477,1:35.477,95.477,2722.704,,28 1:36.226,1:36.226,96.226,2737.199,,28 P 1:40.535,1:40.535,100.535,2873.429,,28 1:38.048,1:38.048,98.048,2783.181,,28 1:37.018,1:37.018,97.018,2751.283,,28 1:36.905,1:36.905,96.905,2754.614,,28 1:38.615,1:38.615,98.615,2792.724,,28 1:38.372,1:38.372,98.372,2789.920,,28 1:37.256,1:37.256,97.256,2768.962,,28 1:56.640,1:56.640,116.640,2801.434,,28 1:36.907,1:36.907,96.907,2748.91,,28 1:36.534,1:36.534,96.534,2739.53,,28 1:37.936,1:37.936,97.936,2782.3,,28 1:37.254,1:37.254,97.254,2804.152,,28 1:38.045,1:38.045,98.045,2784.619,,28 1:38.164,1:38.164,98.164,2777.688,,28 P 1:40.675,1:40.675,100.675,2779.309,,28 1:38.595,1:38.595,98.595,2791.874,,28 1:36.692,1:36.692,96.692,2757.534,,28 1:36.911,1:36.911,96.911,2747.605,,27,2626.668,0.559,14.305,25.335,16.328,34.174,24.026,45.038,58.126,27.597,31.041,64.880,67.441,52.856,59.906,58.465,146.226,57.696,80.230,66.611,51.966
29 1:35.793,1:35.793,95.793,2818.497,,29 1:36.437,1:36.437,96.437,2833.636,,29 2:01.581,2:01.581,121.581,2995.010,,29 1:37.879,1:37.879,97.879,2881.060,,29 1:37.041,1:37.041,97.041,2848.324,,29 1:37.179,1:37.179,97.179,2851.793,,29 1:38.550,1:38.550,98.550,2891.274,,29 1:38.556,1:38.556,98.556,2888.476,,29 1:37.104,1:37.104,97.104,2866.066,,29 1:35.854,1:35.854,95.854,2897.288,,29 1:36.963,1:36.963,96.963,2845.873,,29 1:36.600,1:36.600,96.6,2836.13,,29 1:37.965,1:37.965,97.965,2880.265,,29 1:36.837,1:36.837,96.837,2900.989,,29 1:37.960,1:37.960,97.96,2882.579,,29 1:37.777,1:37.777,97.777,2875.465,,29 1:57.076,1:57.076,117.076,2896.385,,29 1:38.654,1:38.654,98.654,2890.528,,29 1:36.786,1:36.786,96.786,2854.32,,29 1:37.066,1:37.066,97.066,2844.671,,28,2723.952,-1.248,13.247,24.958,15.578,33.582,23.653,45.010,77.482,27.331,30.662,65.968,68.772,53.736,60.667,59.229,149.477,58.348,80.200,67.922,55.357
30 1:35.771,1:35.771,95.771,2914.268,,30 1:36.313,1:36.313,96.313,2929.949,,30 1:35.715,1:35.715,95.715,3090.725,,30 1:37.968,1:37.968,97.968,2979.028,,30 1:36.986,1:36.986,96.986,2945.310,,30 1:37.177,1:37.177,97.177,2948.97,,30 1:38.832,1:38.832,98.832,2990.106,,30 P 1:41.210,1:41.210,101.210,2989.686,,30 1:36.982,1:36.982,96.982,2963.048,,30 1:35.632,1:35.632,95.632,2992.920,,30 1:37.158,1:37.158,97.158,2943.031,,30 1:36.337,1:36.337,96.337,2932.467,,30 1:38.040,1:38.040,98.04,2978.305,,30 1:36.691,1:36.691,96.691,2997.68,,30 1:37.978,1:37.978,97.978,2980.557,,30 1:37.477,1:37.477,97.477,2972.942,,30 1:35.458,1:35.458,95.458,2991.843,,30 P 1:41.252,1:41.252,101.252,2991.78,,30 1:37.244,1:37.244,97.244,2951.564,,30 1:37.186,1:37.186,97.186,2941.857,,29,2821.236,-2.739,12.400,24.637,14.894,33.084,23.435,44.830,76.052,27.088,30.557,67.240,70.038,54.229,61.343,59.824,173.774,59.029,79.753,69.292,75.149
31 1:35.679,1:35.679,95.679,3009.947,,31 1:36.339,1:36.339,96.339,3026.288,,31 1:36.713,1:36.713,96.713,3187.438,,31 1:38.135,1:38.135,98.135,3077.163,,31 1:37.083,1:37.083,97.083,3042.393,,31 1:37.570,1:37.570,97.57,3046.54,,31 P 1:40.432,1:40.432,100.432,3090.538,,31 1:59.322,1:59.322,119.322,3109.008,,31 1:36.957,1:36.957,96.957,3060.005,,31 1:36.202,1:36.202,96.202,3089.122,,31 1:37.031,1:37.031,97.031,3040.062,,31 1:36.537,1:36.537,96.537,3029.004,,31 1:38.000,1:38.000,98,3076.305,,31 1:36.578,1:36.578,96.578,3094.258,,31 1:38.154,1:38.154,98.154,3078.711,,31 1:37.468,1:37.468,97.468,3070.41,,31 1:36.297,1:36.297,96.297,3088.14,,31 2:50.266,2:50.266,170.266,3162.046,,31 1:36.975,1:36.975,96.975,3048.539,,31 P 1:39.405,1:39.405,99.405,3041.262,,30,2918.520,-4.252,11.429,24.511,13.947,33.044,23.337,44.528,74.400,26.790,30.450,71.166,71.586,54.422,62.037,60.508,172.205,59.785,79.160,73.260,73.323
32 1:35.886,1:35.886,95.886,3105.833,,32 1:36.276,1:36.276,96.276,3122.564,,32 1:36.563,1:36.563,96.563,3284.001,,32 1:38.183,1:38.183,98.183,3175.346,,32 1:37.171,1:37.171,97.171,3139.564,,32 1:37.163,1:37.163,97.163,3143.703,,32 1:59.770,1:59.770,119.770,3210.308,,32 1:36.887,1:36.887,96.887,3205.895,,32 1:37.056,1:37.056,97.056,3157.061,,32 1:35.821,1:35.821,95.821,3184.943,,32 1:36.941,1:36.941,96.941,3137.003,,32 1:36.762,1:36.762,96.762,3125.766,,32 P 1:40.565,1:40.565,100.565,3176.87,,32 1:36.935,1:36.935,96.935,3191.193,,32 1:38.025,1:38.025,98.025,3176.736,,32 1:37.847,1:37.847,97.847,3168.257,,32 1:36.048,1:36.048,96.048,3184.188,,32 1:36.763,1:36.763,96.763,3258.809,,32 1:37.325,1:37.325,97.325,3145.864,,32 1:57.267,1:57.267,117.267,3158.529,,31,3015.804,-5.857,10.484,24.258,13.200,32.735,25.458,44.201,73.318,26.589,30.736,93.204,74.734,54.606,62.907,61.359,171.634,60.501,78.454,146.242,72.336
33 1:35.863,1:35.863,95.863,3201.696,,33 1:36.564,1:36.564,96.564,3219.128,,33 1:37.433,1:37.433,97.433,3381.434,,33 1:38.346,1:38.346,98.346,3273.692,,33 P 1:39.626,1:39.626,99.626,3239.190,,33 1:37.088,1:37.088,97.088,3240.791,,33 1:36.112,1:36.112,96.112,3306.420,,33 1:36.704,1:36.704,96.704,3302.599,,33 1:37.202,1:37.202,97.202,3254.263,,33 1:36.349,1:36.349,96.349,3281.292,,33 1:36.741,1:36.741,96.741,3233.744,,33 1:36.556,1:36.556,96.556,3222.322,,33 1:56.655,1:56.655,116.655,3293.525,,33 1:36.784,1:36.784,96.784,3287.977,,33 1:38.150,1:38.150,98.15,3274.886,,33 1:37.498,1:37.498,97.498,3265.755,,33 1:37.971,1:37.971,97.971,3282.159,,33 1:36.202,1:36.202,96.202,3355.011,,33 P 1:39.696,1:39.696,99.696,3245.56,,33 1:35.838,1:35.838,95.838,3254.367,,32,3113.088,-7.255,9.476,23.915,12.678,32.776,45.441,43.973,71.855,26.476,30.615,92.807,97.220,55.169,63.648,62.258,170.913,63.782,78.105,145.721,71.100
34 1:36.133,1:36.133,96.133,3297.829,,34 1:36.378,1:36.378,96.378,3315.506,,34 1:36.475,1:36.475,96.475,3477.909,,34 1:37.750,1:37.750,97.750,3371.442,,34 1:56.898,1:56.898,116.898,3356.088,,34 P 1:39.211,1:39.211,99.211,3340.002,,34 1:36.622,1:36.622,96.622,3403.042,,34 1:36.226,1:36.226,96.226,3398.825,,34 1:37.601,1:37.601,97.601,3351.864,,34 1:36.332,1:36.332,96.332,3377.624,,34 P 1:39.614,1:39.614,99.614,3333.358,,34 1:36.551,1:36.551,96.551,3318.873,,34 1:35.570,1:35.570,95.57,3389.095,,34 1:36.692,1:36.692,96.692,3384.669,,34 1:38.246,1:38.246,98.246,3373.132,,34 P 1:40.835,1:40.835,100.835,3366.59,,34 1:36.518,1:36.518,96.518,3378.677,,34 1:38.009,1:38.009,98.009,3453.02,,34 1:54.974,1:54.974,114.974,3360.534,,34 1:35.241,1:35.241,95.241,3349.608,,33,3210.372,-8.676,8.756,23.372,11.950,35.188,43.995,43.891,70.920,28.818,30.419,92.227,96.048,55.383,64.514,63.320,171.062,83.153,77.605,144.639,71.787
35 1:36.018,1:36.018,96.018,3393.847,,35 1:36.776,1:36.776,96.776,3412.282,,35 1:36.859,1:36.859,96.859,3574.768,,35 1:37.767,1:37.767,97.767,3469.209,,35 1:34.476,1:34.476,94.476,3450.564,,35 1:59.703,1:59.703,119.703,3459.705,,35 1:36.313,1:36.313,96.313,3499.355,,35 1:36.354,1:36.354,96.354,3495.179,,35 1:37.273,1:37.273,97.273,3449.137,,35 1:36.242,1:36.242,96.242,3473.866,,35 1:56.166,1:56.166,116.166,3449.524,,35 P 1:39.274,1:39.274,99.274,3418.147,,35 1:35.698,1:35.698,95.698,3484.793,,35 1:36.959,1:36.959,96.959,3481.628,,35 P 1:40.595,1:40.595,100.595,3473.727,,35 1:57.417,1:57.417,117.417,3484.007,,35 1:36.546,1:36.546,96.546,3475.223,,35 1:36.578,1:36.578,96.578,3549.598,,35 1:35.489,1:35.489,95.489,3456.023,,35 1:35.772,1:35.772,95.772,3445.38,,34,3307.656,-9.827,7.850,25.702,11.217,52.878,41.952,44.208,69.968,48.432,32.346,91.169,95.386,58.934,65.476,63.786,170.253,81.439,77.013,145.364,71.021
36 1:36.205,1:36.205,96.205,3490.052,,36 P 1:39.365,1:39.365,99.365,3511.647,,36 1:36.462,1:36.462,96.462,3671.230,,36 P 1:40.333,1:40.333,100.333,3569.542,,36 1:35.690,1:35.690,95.690,3546.254,,36 1:35.153,1:35.153,95.153,3554.858,,36 1:36.450,1:36.450,96.450,3595.805,,36 1:37.229,1:37.229,97.229,3592.408,,36 1:38.343,1:38.343,98.343,3547.480,,36 1:36.086,1:36.086,96.086,3569.952,,36 1:34.090,1:34.090,94.09,3543.614,,36 1:55.620,1:55.620,115.62,3533.767,,36 1:35.851,1:35.851,95.851,3580.644,,36 1:36.795,1:36.795,96.795,3578.423,,36 1:56.995,1:56.995,116.995,3590.722,,36 1:37.706,1:37.706,97.706,3581.713,,36 1:36.931,1:36.931,96.931,3572.154,,36 1:36.792,1:36.792,96.792,3646.39,,36 1:35.279,1:35.279,95.279,3551.302,,36 1:35.434,1:35.434,95.434,3540.814,,35,3404.940,-11.093,7.342,44.584,13.207,51.083,40.440,44.197,68.926,45.624,54.765,90.239,94.415,79.067,68.787,64.269,169.828,79.853,76.688,144.658,70.283
37 P 1:39.234,1:39.234,99.234,3589.286,,37 1:55.808,1:55.808,115.808,3627.455,,37 1:36.785,1:36.785,96.785,3768.015,,37 1:57.632,1:57.632,117.632,3687.174,,37 1:35.067,1:35.067,95.067,3641.321,,37 1:34.774,1:34.774,94.774,3649.632,,37 1:36.629,1:36.629,96.629,3692.434,,37 1:36.580,1:36.580,96.580,3688.988,,37 1:36.799,1:36.799,96.799,3644.279,,37 1:35.987,1:35.987,95.987,3665.939,,37 1:34.897,1:34.897,94.897,3638.511,,37 1:35.302,1:35.302,95.302,3629.069,,37 1:35.741,1:35.741,95.741,3676.385,,37 1:36.723,1:36.723,96.723,3675.146,,37 1:35.163,1:35.163,95.163,3685.885,,37 1:35.833,1:35.833,95.833,3677.546,,37 1:36.805,1:36.805,96.805,3668.959,,37 1:38.008,1:38.008,98.008,3744.398,,37 1:35.597,1:35.597,95.597,3646.899,,37 1:35.481,1:35.481,95.481,3636.295,,36,3502.224,-12.172,9.423,41.390,31.543,49.078,38.590,45.256,67.728,44.030,52.634,90.184,93.581,79.489,88.498,67.318,169.006,78.420,76.199,144.166,69.930
38 1:56.445,1:56.445,116.445,3705.731,,38 1:34.804,1:34.804,94.804,3722.259,,38 1:36.732,1:36.732,96.732,3864.747,,38 1:36.129,1:36.129,96.129,3783.303,,38 1:35.149,1:35.149,95.149,3736.470,,38 1:35.298,1:35.298,95.298,3744.93,,38 1:36.802,1:36.802,96.802,3789.236,,38 1:36.814,1:36.814,96.814,3785.802,,38 1:37.297,1:37.297,97.297,3741.576,,38 1:36.364,1:36.364,96.364,3762.303,,38 1:34.783,1:34.783,94.783,3733.294,,38 1:35.100,1:35.100,95.1,3724.169,,38 1:36.042,1:36.042,96.042,3772.427,,38 1:40.083,1:40.083,100.083,3775.229,,38 1:35.460,1:35.460,95.46,3781.345,,38 1:37.046,1:37.046,97.046,3774.592,,38 1:36.857,1:36.857,96.857,3765.816,,38 1:37.774,1:37.774,97.774,3842.172,,38 1:34.966,1:34.966,94.966,3741.865,,38 1:35.479,1:35.479,95.479,3731.774,,37,3599.508,-10.222,27.947,39.003,29.561,47.391,36.787,44.771,66.431,41.813,50.124,89.480,92.926,78.038,86.377,87.666,168.507,76.877,75.638,144.890,69.451
39 1:32.608,1:32.608,92.608,3798.339,,39 1:34.607,1:34.607,94.607,3816.866,,39 1:37.016,1:37.016,97.016,3961.763,,39 1:35.856,1:35.856,95.856,3879.159,,39 1:34.880,1:34.880,94.880,3831.350,,39 1:34.983,1:34.983,94.983,3839.913,,39 1:36.537,1:36.537,96.537,3885.773,,39 1:36.552,1:36.552,96.552,3882.354,,39 1:37.946,1:37.946,97.946,3839.522,,39 1:36.353,1:36.353,96.353,3858.656,,39 1:35.087,1:35.087,95.087,3828.381,,39 1:34.709,1:34.709,94.709,3818.878,,39 1:35.876,1:35.876,95.876,3868.303,,39 1:37.476,1:37.476,97.476,3872.705,,39 1:35.475,1:35.475,95.475,3876.82,,39 1:36.125,1:36.125,96.125,3870.717,,39 1:36.637,1:36.637,96.637,3862.453,,39 1:37.189,1:37.189,97.189,3939.361,,39 1:34.722,1:34.722,94.722,3836.587,,39 1:35.204,1:35.204,95.204,3826.978,,38,3696.792,8.939,25.467,36.502,27.377,45.073,34.982,44.784,65.511,39.678,48.138,89.010,92.444,77.800,84.553,86.511,167.955,75.635,78.437,145.380,69.024
40 1:36.589,1:36.589,96.589,3894.928,,40 1:34.364,1:34.364,94.364,3911.230,,40 P 1:39.817,1:39.817,99.817,4061.580,,40 1:35.723,1:35.723,95.723,3974.882,,40 1:35.276,1:35.276,95.276,3926.626,,40 1:35.005,1:35.005,95.005,3934.918,,40 1:36.742,1:36.742,96.742,3982.515,,40 1:36.608,1:36.608,96.608,3978.962,,40 1:38.061,1:38.061,98.061,3937.583,,40 1:36.485,1:36.485,96.485,3955.141,,40 1:34.859,1:34.859,94.859,3923.24,,40 1:34.739,1:34.739,94.739,3913.617,,40 1:36.071,1:36.071,96.071,3964.374,,40 1:37.088,1:37.088,97.088,3969.793,,40 1:35.578,1:35.578,95.578,3972.398,,40 1:36.263,1:36.263,96.263,3966.98,,40 1:36.683,1:36.683,96.683,3959.136,,40 1:37.393,1:37.393,97.393,4036.754,,40 1:35.041,1:35.041,95.041,3931.628,,40 1:35.065,1:35.065,95.065,3922.043,,39,3794.076,4.263,22.790,34.305,24.802,42.511,32.902,45.446,64.580,37.274,45.837,88.278,91.697,76.641,82.744,85.083,167.687,74.227,78.629,145.285,68.377
41 1:35.290,1:35.290,95.290,3990.218,,41 1:34.400,1:34.400,94.400,4005.630,,41 2:00.282,2:00.282,120.282,4181.862,,41 1:35.885,1:35.885,95.885,4070.767,,41 1:35.069,1:35.069,95.069,4021.695,,41 1:35.109,1:35.109,95.109,4030.027,,41 1:36.571,1:36.571,96.571,4079.086,,41 1:36.621,1:36.621,96.621,4075.583,,41 P 1:40.261,1:40.261,100.261,4037.844,,41 1:36.322,1:36.322,96.322,4051.463,,41 1:35.028,1:35.028,95.028,4018.268,,41 1:35.041,1:35.041,95.041,4008.658,,41 1:36.340,1:36.340,96.34,4060.714,,41 P 1:39.569,1:39.569,99.569,4069.362,,41 1:35.644,1:35.644,95.644,4068.042,,41 1:36.179,1:36.179,96.179,4063.159,,41 1:36.695,1:36.695,96.695,4055.831,,41 1:36.437,1:36.437,96.437,4133.191,,41 1:34.940,1:34.940,94.94,4026.568,,41 1:35.093,1:35.093,95.093,4017.136,,40,3891.360,3.568,19.870,31.880,22.257,40.268,30.683,46.223,63.781,35.266,43.558,87.602,91.155,75.620,81.038,83.522,170.220,73.014,78.433,145.394,67.776
42 1:34.667,1:34.667,94.667,4084.885,,42 1:34.525,1:34.525,94.525,4100.155,,42 1:34.735,1:34.735,94.735,4276.597,,42 1:35.799,1:35.799,95.799,4166.566,,42 1:35.165,1:35.165,95.165,4116.860,,42 1:35.341,1:35.341,95.341,4125.368,,42 1:36.631,1:36.631,96.631,4175.717,,42 1:36.592,1:36.592,96.592,4172.175,,42 1:56.899,1:56.899,116.899,4154.743,,42 1:36.343,1:36.343,96.343,4147.806,,42 1:34.982,1:34.982,94.982,4113.25,,42 1:34.861,1:34.861,94.861,4103.519,,42 1:36.310,1:36.310,96.31,4157.024,,42 1:56.108,1:56.108,116.108,4185.47,,42 1:35.338,1:35.338,95.338,4163.38,,42 1:35.981,1:35.981,95.981,4159.14,,42 1:36.652,1:36.652,96.652,4152.483,,42 1:36.374,1:36.374,96.374,4229.565,,42 1:34.996,1:34.996,94.996,4121.564,,42 1:35.136,1:35.136,95.136,4112.272,,41,3988.644,1.574,16.986,29.624,20.014,37.924,28.492,49.200,62.819,33.051,41.383,86.939,90.442,74.515,79.398,82.123,193.218,72.070,80.718,144.547,67.187
43 1:34.151,1:34.151,94.151,4179.036,,43 1:34.797,1:34.797,94.797,4194.952,,43 1:35.001,1:35.001,95.001,4371.598,,43 1:35.766,1:35.766,95.766,4262.332,,43 1:35.295,1:35.295,95.295,4212.155,,43 1:35.258,1:35.258,95.258,4220.626,,43 P 1:39.291,1:39.291,99.291,4275.008,,43 1:36.679,1:36.679,96.679,4268.854,,43 1:35.107,1:35.107,95.107,4249.850,,43 1:36.304,1:36.304,96.304,4244.110,,43 1:35.192,1:35.192,95.192,4208.442,,43 1:34.795,1:34.795,94.795,4198.314,,43 1:36.232,1:36.232,96.232,4253.256,,43 1:35.760,1:35.760,95.76,4281.23,,43 1:35.560,1:35.560,95.56,4258.94,,43 1:35.956,1:35.956,95.956,4255.096,,43 1:36.771,1:36.771,96.771,4249.254,,43 1:36.569,1:36.569,96.569,4326.134,,43 1:34.935,1:34.935,94.935,4216.499,,43 1:35.193,1:35.193,95.193,4207.465,,42,4085.928,-1.043,14.227,27.322,17.591,35.636,26.344,68.815,61.878,30.932,39.440,86.247,89.789,73.212,77.452,80.638,190.669,71.096,99.542,143.637,66.555
