1 Max VERSTAPPEN,,MV_Laptime_s,MV_Cumulative,,11 Sergio PEREZ,,SP_Laptime_s,SP_Cumulative,,2 Logan SARGEANT,,LS_Laptime_s,LS_Cumulative,,23 Alex ALBON,,AA_Laptime_s,AA_Cumulative,,4 Lando NORRIS,,LN_Laptime_s,LN_Cumulative,,81 Oscar PIASTRI,,OP_Laptime_s,OP_Cumulative,,10 Pierre GASLY,,PG_Laptime_s,PG_Cumulative,,31 Esteban OCON,,EO_Laptime_s,EO_Cumulative,,14 Fernando ALONSO,,FA_Laptime_s,FA_Cumulative,,18 Lance STROLL,,LS_Laptime_s,LS_Cumulative,,16 Charles LECLERC,,CL_Laptime_s,CL_Cumulative,,55 Carlos SAINZ,,CS_Laptime_s,CL_Cumulative,,20 Kevin MAGNUSSEN,,KM_Laptime_s,KM_Cumulative,,27 Nico HULKENBERG,,NH_Laptime_s,NH_Cumulative,,3 Daniel RICCIARDO,,RIC_Laptime_s,RIC_Cumulative,,22 Yuki TSUNODA,,YT_Laptime_s,YT_Cumulative,,24 Guanyu ZHOU,,GZ_Laptime_s,GZ_Cumulative,,77 Valterri BOTTAS,,VB_Laptime_s,VB_Cumulative,,44 Lewis HAMILTON,,LH_Laptime_s,LH_Cumulative,,63 George RUSSELL,,GR_Laptime_s,GR_Cumulative,,,,RBR1,RBR2,SF1,SF2,M-AMG1,M_AMG2,AMR1,AMR2,MCL1,MCL2,ALP1,ALP2,ATO1,ATO2,WIL1,WIL2,HAS1,HAS2,SAUB1,SAUB2
11 1:37.085,01:37.1,97.085,1066.581,,11 1:37.836,01:37.8,97.836,1076.201,,11 2:12.438,02:12.4,132.438,1191.546,,11 1:38.835,01:38.8,98.835,1090.797,,11 1:38.172,01:38.2,98.172,1081.271,,11 1:38.397,01:38.4,98.397,1083.4,,11 1:38.656,01:38.7,98.656,1096.711,,11 1:59.014,01:59.0,119.014,1119.203,,11 1:38.554,01:38.6,98.554,1086.752,,11 1:36.494,01:36.5,96.494,1116.541,,11 P 1:41.737,01:41.7,101.737,1081.418,,11 1:37.656,01:37.7,97.656,1077.71,,11 P 1:41.088,01:41.1,101.088,1095.187,,11 1:37.638,01:37.6,97.638,1124.084,,11 1:39.033,01:39.0,99.033,1095.815,,11 1:38.799,01:38.8,98.799,1088.739,,11 1:36.365,01:36.4,96.365,1114.722,,11 1:39.187,01:39.2,99.187,1098.914,,11 1:38.236,01:38.2,98.236,1085.496,,11 P 1:40.515,01:40.5,100.515,1077.878,,10,969.496,0,8.869,10.185,10.558,17.764,7.867,18.702,50.551,13.603,15.507,30.693,28.559,20.444,27.286,22.466,89.612,24.603,56.95,30.231,48.861
12 1:37.045,01:37.0,97.045,1163.626,,12 P 1:40.277,01:40.3,100.277,1176.478,,12 1:38.493,01:38.5,98.493,1290.039,,12 1:38.934,01:38.9,98.934,1189.731,,12 1:38.082,01:38.1,98.082,1179.353,,12 P 1:40.739,01:40.7,100.739,1184.139,,12 P 1:41.456,01:41.5,101.456,1198.167,,12 1:37.599,01:37.6,97.599,1216.802,,12 1:38.543,01:38.5,98.543,1185.295,,12 1:37.175,01:37.2,97.175,1213.716,,12 1:57.471,01:57.5,117.471,1198.889,,12 1:37.650,01:37.7,97.65,1175.36,,12 1:59.682,01:59.7,119.682,1214.869,,12 1:37.706,01:37.7,97.706,1221.79,,12 1:38.893,01:38.9,98.893,1194.708,,12 1:38.769,01:38.8,98.769,1187.508,,12 1:36.995,01:37.0,96.995,1211.717,,12 P 1:43.145,01:43.1,103.145,1202.059,,12 P 1:40.889,01:40.9,100.889,1186.385,,12 1:58.460,01:58.5,118.46,1196.338,,11,1066.581,0,9.62,14.837,11.129,18.915,11.297,20.171,49.96,14.69,16.819,52.622,30.13,22.158,29.234,24.216,124.965,28.606,57.503,32.333,48.141
13 1:37.030,01:37.0,97.03,1260.656,,13 1:57.624,01:57.6,117.624,1294.102,,13 1:40.989,01:41.0,100.989,1391.028,,13 1:38.823,01:38.8,98.823,1288.554,,13 P 1:40.635,01:40.6,100.635,1279.988,,13 1:58.689,01:58.7,118.689,1302.828,,13 2:04.565,02:04.6,124.565,1322.732,,13 1:37.363,01:37.4,97.363,1314.165,,13 1:38.587,01:38.6,98.587,1283.882,,13 1:37.289,01:37.3,97.289,1311.005,,13 1:36.432,01:36.4,96.432,1295.321,,13 1:37.243,01:37.2,97.243,1272.603,,13 1:36.890,01:36.9,96.89,1311.759,,13 1:37.801,01:37.8,97.801,1319.591,,13 P 1:42.173,01:42.2,102.173,1296.881,,13 1:38.860,01:38.9,98.86,1286.368,,13 1:37.436,01:37.4,97.436,1309.153,,13 2:01.081,02:01.1,121.081,1323.14,,13 1:58.645,01:58.6,118.645,1305.03,,13 1:37.167,01:37.2,97.167,1293.505,,12,1163.626,0,12.852,35.263,11.734,22.759,32.712,21.669,50.09,15.727,20.513,53.176,34.541,23.882,31.082,26.105,126.413,51.243,58.164,38.433,48.091
14 1:37.028,01:37.0,97.028,1357.684,,14 1:35.606,01:35.6,95.606,1389.708,,14 1:41.470,01:41.5,101.47,1492.498,,14 1:38.977,01:39.0,98.977,1387.531,,14 1:57.770,01:57.8,117.77,1397.758,,14 1:36.796,01:36.8,96.796,1399.624,,14 1:37.689,01:37.7,97.689,1420.421,,14 1:37.537,01:37.5,97.537,1411.702,,14 1:38.612,01:38.6,98.612,1382.494,,14 1:37.624,01:37.6,97.624,1408.629,,14 1:36.756,01:36.8,96.756,1392.077,,14 P 1:39.753,01:39.8,99.753,1372.356,,14 1:37.590,01:37.6,97.59,1409.349,,14 1:37.879,01:37.9,97.879,1417.47,,14 1:59.408,01:59.4,119.408,1416.289,,14 P 1:41.138,01:41.1,101.138,1387.506,,14 1:37.482,01:37.5,97.482,1406.635,,14 1:36.454,01:36.5,96.454,1419.594,,14 1:37.178,01:37.2,97.178,1402.208,,14 1:37.571,01:37.6,97.571,1391.076,,13,1260.656,0,33.446,34.665,11.947,44.374,32.849,23.226,50.349,19.332,42.172,53.509,62.076,25.712,36.225,27.898,130.372,51.103,58.935,62.484,48.497
15 1:37.011,01:37.0,97.011,1454.695,,15 1:36.815,01:36.8,96.815,1486.523,,15 1:37.594,01:37.6,97.594,1590.092,,15 P 1:41.171,01:41.2,101.171,1488.702,,15 1:36.912,01:36.9,96.912,1494.67,,15 1:36.823,01:36.8,96.823,1496.447,,15 1:37.492,01:37.5,97.492,1517.913,,15 1:37.843,01:37.8,97.843,1509.545,,15 P 1:41.101,01:41.1,101.101,1483.595,,15 1:37.533,01:37.5,97.533,1506.162,,15 1:36.813,01:36.8,96.813,1488.89,,15 1:57.225,01:57.2,117.225,1489.581,,15 1:38.332,01:38.3,98.332,1507.681,,15 1:38.110,01:38.1,98.11,1515.58,,15 1:37.070,01:37.1,97.07,1513.359,,15 1:59.588,01:59.6,119.588,1507.094,,15 1:37.500,01:37.5,97.5,1504.135,,15 1:37.287,01:37.3,97.287,1516.881,,15 1:37.264,01:37.3,97.264,1499.472,,15 1:36.922,01:36.9,96.922,1487.998,,14,1357.684,0,32.024,34.393,14.672,44.524,33.392,24.81,50.945,40.074,41.94,54.018,62.737,29.822,58.605,29.847,134.814,51.665,59.786,61.91,48.951
16 1:37.168,01:37.2,97.168,1551.863,,16 1:35.783,01:35.8,95.783,1582.306,,16 1:41.370,01:41.4,101.37,1691.462,,16 1:59.341,01:59.3,119.341,1608.043,,16 1:36.565,01:36.6,96.565,1591.235,,16 1:36.427,01:36.4,96.427,1592.874,,16 1:37.521,01:37.5,97.521,1615.434,,16 1:37.902,01:37.9,97.902,1607.447,,16 1:58.814,01:58.8,118.814,1602.409,,16 1:38.027,01:38.0,98.027,1604.189,,16 1:36.673,01:36.7,96.673,1585.563,,16 1:36.376,01:36.4,96.376,1585.957,,16 1:37.749,01:37.7,97.749,1605.43,,16 1:37.796,01:37.8,97.796,1613.376,,16 1:37.176,01:37.2,97.176,1610.535,,16 1:37.516,01:37.5,97.516,1604.61,,16 1:37.659,01:37.7,97.659,1601.794,,16 1:37.718,01:37.7,97.718,1614.599,,16 1:37.091,01:37.1,97.091,1596.563,,16 1:36.683,01:36.7,96.683,1584.681,,15,1454.695,0,31.828,34.195,34.886,44.777,33.303,28.9,51.467,39.975,41.752,54.85,63.218,52.399,58.664,34.007,135.397,52.986,60.885,62.186,49.44
17 P 1:39.896,01:39.9,99.896,1651.759,,17 1:36.454,01:36.5,96.454,1678.76,,17 1:39.758,01:39.8,99.758,1791.22,,17 1:37.392,01:37.4,97.392,1705.435,,17 1:36.776,01:36.8,96.776,1688.011,,17 1:36.872,01:36.9,96.872,1689.746,,17 1:37.949,01:37.9,97.949,1713.383,,17 1:38.911,01:38.9,98.911,1706.358,,17 1:36.970,01:37.0,96.97,1699.379,,17 1:38.777,01:38.8,98.777,1702.966,,17 1:37.302,01:37.3,97.302,1682.865,,17 1:35.507,01:35.5,95.507,1681.464,,17 1:38.282,01:38.3,98.282,1703.712,,17 1:37.891,01:37.9,97.891,1711.267,,17 1:37.290,01:37.3,97.29,1707.825,,17 1:37.482,01:37.5,97.482,1702.092,,17 1:38.475,01:38.5,98.475,1700.269,,17 1:37.765,01:37.8,97.765,1712.364,,17 1:37.111,01:37.1,97.111,1693.674,,17 1:36.234,01:36.2,96.234,1680.915,,16,1551.863,0,30.443,33.7,34.094,44.7,32.818,50.546,52.326,39.372,41.011,55.584,63.571,52.747,58.672,56.18,139.599,53.567,61.513,62.736,49.931
18 1:57.854,01:57.9,117.854,1769.613,,18 1:36.311,01:36.3,96.311,1775.071,,18 1:38.077,01:38.1,98.077,1889.297,,18 1:37.590,01:37.6,97.59,1803.025,,18 1:36.508,01:36.5,96.508,1784.519,,18 1:37.095,01:37.1,97.095,1786.841,,18 1:37.791,01:37.8,97.791,1811.174,,18 1:38.120,01:38.1,98.12,1804.478,,18 1:37.361,01:37.4,97.361,1796.74,,18 1:37.417,01:37.4,97.417,1800.383,,18 1:37.438,01:37.4,97.438,1780.303,,18 1:36.088,01:36.1,96.088,1777.552,,18 1:37.583,01:37.6,97.583,1801.295,,18 1:38.216,01:38.2,98.216,1809.483,,18 1:37.700,01:37.7,97.7,1805.525,,18 1:37.359,01:37.4,97.359,1799.451,,18 1:37.552,01:37.6,97.552,1797.821,,18 1:37.918,01:37.9,97.918,1810.282,,18 1:36.850,01:36.9,96.85,1790.524,,18 1:37.819,01:37.8,97.819,1778.734,,17,1651.759,0,27.001,31.106,29.705,41.915,29.156,47.62,51.207,36.252,37.987,54.599,61.624,50.333,56.066,53.676,139.461,51.953,59.508,60.605,48.51
19 1:35.283,01:35.3,95.283,1864.896,,19 1:36.038,01:36.0,96.038,1871.109,,19 1:37.742,01:37.7,97.742,1987.039,,19 1:37.763,01:37.8,97.763,1900.788,,19 1:36.416,01:36.4,96.416,1880.935,,19 1:36.577,01:36.6,96.577,1883.418,,19 1:37.702,01:37.7,97.702,1908.876,,19 1:38.332,01:38.3,98.332,1902.81,,19 1:37.072,01:37.1,97.072,1893.812,,19 1:37.554,01:37.6,97.554,1897.937,,19 1:36.821,01:36.8,96.821,1877.124,,19 1:36.236,01:36.2,96.236,1873.788,,19 1:37.792,01:37.8,97.792,1899.087,,19 1:37.862,01:37.9,97.862,1907.345,,19 1:38.350,01:38.4,98.35,1903.875,,19 1:37.396,01:37.4,97.396,1896.847,,19 1:37.652,01:37.7,97.652,1895.473,,19 1:37.662,01:37.7,97.662,1907.944,,19 1:36.694,01:36.7,96.694,1887.218,,19 1:37.233,01:37.2,97.233,1875.967,,18,1769.613,0,5.458,10.69,7.939,20.911,9.121,27.127,30.77,14.906,17.228,34.865,41.561,29.838,35.912,33.412,119.684,31.682,39.87,40.669,28.208
20 1:35.160,01:35.2,95.16,1960.056,,20 1:36.278,01:36.3,96.278,1967.387,,20 1:37.820,01:37.8,97.82,2084.859,,20 1:37.701,01:37.7,97.701,1998.489,,20 1:36.501,01:36.5,96.501,1977.436,,20 1:36.644,01:36.6,96.644,1980.062,,20 1:38.036,01:38.0,98.036,2006.912,,20 1:38.185,01:38.2,98.185,2000.995,,20 1:37.357,01:37.4,97.357,1991.169,,20 1:37.859,01:37.9,97.859,1995.796,,20 1:36.794,01:36.8,96.794,1973.918,,20 1:36.034,01:36.0,96.034,1969.822,,20 1:38.062,01:38.1,98.062,1997.149,,20 P 1:40.798,01:40.8,100.798,2008.143,,20 1:37.865,01:37.9,97.865,2001.74,,20 1:37.766,01:37.8,97.766,1994.613,,20 1:37.749,01:37.7,97.749,1993.222,,20 1:38.285,01:38.3,98.285,2006.229,,20 1:36.264,01:36.3,96.264,1983.482,,20 1:36.732,01:36.7,96.732,1972.699,,19,1864.896,0,6.213,12.228,8.892,22.322,11.071,28.916,33.041,16.039,18.522,37.914,43.98,31.951,38.979,35.892,122.143,34.191,42.449,43.048,30.577
